;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
507,-0.02693,0
508,-0.02692,0
509,-0.02691,0.0167037
510,-0.0269,0.0167037
511,-0.02689,0.0167037
512,-0.02688,0.0501112
513,-0.02687,0.0334074
514,-0.02686,0.0668149
515,-0.02685,0.0668149
516,-0.02684,0.0501112
517,-0.02683,0.0835186
518,-0.02682,0.0835186
519,-0.02681,0.0835186
520,-0.0268,0.0835186
521,-0.02679,0.0835186
522,-0.02678,0.0835186
523,-0.02677,0.100222
524,-0.02676,0.100222
525,-0.02675,0.100222
526,-0.02674,0.100222
527,-0.02673,0.100222
528,-0.02672,0.100222
529,-0.02671,0.100222
530,-0.0267,0.100222
531,-0.02669,0.100222
532,-0.02668,0.100222
533,-0.02667,0.100222
534,-0.02666,0.100222
535,-0.02665,0.0835186
536,-0.02664,0.116926
537,-0.02663,0.116926
538,-0.02662,0.116926
539,-0.02661,0.116926
540,-0.0266,0.116926
541,-0.02659,0.13363
542,-0.02658,0.13363
543,-0.02657,0.13363
544,-0.02656,0.13363
545,-0.02655,0.13363
546,-0.02654,0.13363
547,-0.02653,0.13363
548,-0.02652,0.13363
549,-0.02651,0.13363
550,-0.0265,0.13363
551,-0.02649,0.13363
552,-0.02648,0.13363
553,-0.02647,0.13363
554,-0.02646,0.13363
555,-0.02645,0.13363
556,-0.02644,0.13363
557,-0.02643,0.13363
558,-0.02642,0.13363
559,-0.02641,0.150333
560,-0.0264,0.13363
561,-0.02639,0.13363
562,-0.02638,0.150333
563,-0.02637,0.150333
564,-0.02636,0.150333
565,-0.02635,0.150333
566,-0.02634,0.150333
567,-0.02633,0.150333
568,-0.02632,0.150333
569,-0.02631,0.150333
570,-0.0263,0.150333
571,-0.02629,0.150333
572,-0.02628,0.150333
573,-0.02627,0.150333
574,-0.02626,0.150333
575,-0.02625,0.150333
576,-0.02624,0.150333
577,-0.02623,0.150333
578,-0.02622,0.150333
579,-0.02621,0.13363
580,-0.0262,0.167037
581,-0.02619,0.167037
582,-0.02618,0.167037
583,-0.02617,0.167037
584,-0.02616,0.167037
585,-0.02615,0.167037
586,-0.02614,0.167037
587,-0.02613,0.167037
588,-0.02612,0.167037
589,-0.02611,0.167037
590,-0.0261,0.167037
591,-0.02609,0.167037
592,-0.02608,0.167037
593,-0.02607,0.167037
594,-0.02606,0.167037
595,-0.02605,0.167037
596,-0.02604,0.167037
597,-0.02603,0.167037
598,-0.02602,0.167037
599,-0.02601,0.167037
600,-0.026,0.167037
601,-0.02599,0.167037
602,-0.02598,0.167037
603,-0.02597,0.167037
604,-0.02596,0.167037
605,-0.02595,0.167037
606,-0.02594,0.167037
607,-0.02593,0.167037
608,-0.02592,0.167037
609,-0.02591,0.167037
610,-0.0259,0.167037
611,-0.02589,0.167037
612,-0.02588,0.167037
613,-0.02587,0.167037
614,-0.02586,0.167037
615,-0.02585,0.167037
616,-0.02584,0.167037
617,-0.02583,0.167037
618,-0.02582,0.167037
619,-0.02581,0.183741
620,-0.0258,0.183741
621,-0.02579,0.183741
622,-0.02578,0.183741
623,-0.02577,0.183741
624,-0.02576,0.183741
625,-0.02575,0.183741
626,-0.02574,0.183741
627,-0.02573,0.183741
628,-0.02572,0.183741
629,-0.02571,0.183741
630,-0.0257,0.183741
631,-0.02569,0.183741
632,-0.02568,0.183741
633,-0.02567,0.183741
634,-0.02566,0.183741
635,-0.02565,0.183741
636,-0.02564,0.183741
637,-0.02563,0.183741
638,-0.02562,0.183741
639,-0.02561,0.183741
640,-0.0256,0.183741
641,-0.02559,0.183741
642,-0.02558,0.183741
643,-0.02557,0.183741
644,-0.02556,0.183741
645,-0.02555,0.183741
646,-0.02554,0.183741
647,-0.02553,0.183741
648,-0.02552,0.183741
649,-0.02551,0.183741
650,-0.0255,0.183741
651,-0.02549,0.183741
652,-0.02548,0.183741
653,-0.02547,0.183741
654,-0.02546,0.183741
655,-0.02545,0.200445
656,-0.02544,0.167037
657,-0.02543,0.200445
658,-0.02542,0.200445
