time	V(in-)	V(out)	V(in+)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.882812487672084e-10	-2.199857e-13	1.108098e-07	-2.264816e-06
9.765624975344167e-10	-4.399716e-13	2.240618e-07	-2.954778e-06
2.550594473939885e-08	-1.149123e-11	3.333868e-06	-3.069363e-07
5.003532698126329e-08	-2.254248e-11	1.172569e-05	6.838277e-06
7.456470922312773e-08	-3.359371e-11	2.539954e-05	1.848086e-05
9.909409146499217e-08	-4.464493e-11	4.435541e-05	3.462082e-05
1.236234737068566e-07	-5.569613e-11	6.859330e-05	5.525815e-05
1.481528559487210e-07	-6.674732e-11	9.811321e-05	8.039285e-05
1.726822381905854e-07	-7.779849e-11	1.329151e-04	1.100249e-04
2.184324318149058e-07	-9.841007e-11	2.608415e-04	2.189477e-04
2.621875001882060e-07	-1.181225e-10	4.922919e-04	4.160159e-04
3.063333205824187e-07	-1.380104e-10	9.552262e-04	8.101810e-04
3.586838999441924e-07	-1.615932e-10	2.043486e-03	1.736779e-03
4.072676523864303e-07	-1.834763e-10	4.141651e-03	3.523260e-03
4.602157068292117e-07	-2.073187e-10	8.872690e-03	7.551498e-03
5.103686979679968e-07	-2.298893e-10	1.829868e-02	1.557725e-02
5.629447838772540e-07	-2.535169e-10	3.894372e-02	3.315546e-02
6.138068674980611e-07	-2.761049e-10	8.093424e-02	6.890824e-02
6.660726840910408e-07	-1.911063e-10	1.707584e-01	1.453890e-01
7.175439989313597e-07	4.775579e-09	3.249588e-01	2.766828e-01
7.400385715471411e-07	6.686747e-08	4.268392e-01	3.634287e-01
7.536551184375726e-07	3.098943e-07	5.069426e-01	4.316327e-01
7.610262591340963e-07	8.036441e-07	5.563632e-01	4.737118e-01
7.668616591522054e-07	1.762271e-06	5.986593e-01	5.097248e-01
7.728752601856901e-07	3.656962e-06	6.450796e-01	5.492493e-01
7.804963551899661e-07	7.865237e-06	7.083986e-01	6.031622e-01
7.918301021711116e-07	1.857995e-05	8.116499e-01	6.910754e-01
8.083867992898162e-07	4.543989e-05	9.790657e-01	8.336214e-01
8.331978035653427e-07	1.147193e-04	1.254357e+00	1.068018e+00
8.716207633330873e-07	2.880315e-04	1.705815e+00	1.452411e+00
9.151819649539673e-07	5.809023e-04	2.229723e+00	1.898493e+00
9.605135305610510e-07	1.028405e-03	2.778221e+00	2.365510e+00
1.045345971989290e-06	2.301614e-03	3.805126e+00	3.239868e+00
1.215010854845767e-06	6.475179e-03	5.858568e+00	4.988269e+00
1.554340620558721e-06	1.965463e-02	9.543710e+00	8.125980e+00
2.000683905379160e-06	4.234944e-02	1.338108e+01	1.139331e+01
2.065524837082987e-06	4.641938e-02	1.342381e+01	1.142969e+01
3.507064334548061e-06	1.376816e-01	1.344798e+01	1.145027e+01
4.948603832013136e-06	2.282882e-01	1.346661e+01	1.146613e+01
6.390143329478209e-06	3.182392e-01	1.347969e+01	1.147727e+01
7.831682826943283e-06	4.075345e-01	1.348723e+01	1.148369e+01
9.273222324408358e-06	4.961742e-01	1.348922e+01	1.148539e+01
1.071476182187343e-05	5.841583e-01	1.348567e+01	1.148236e+01
1.215630131933850e-05	6.714867e-01	1.347657e+01	1.147461e+01
1.631540042234664e-05	9.189957e-01	1.347656e+01	1.147461e+01
2.463359862836292e-05	1.394897e+00	1.347650e+01	1.147455e+01
4.126999504039548e-05	2.277971e+00	1.347638e+01	1.147445e+01
7.454278786446061e-05	3.833258e+00	1.347617e+01	1.147427e+01
1.233709128644606e-04	5.744767e+00	1.347592e+01	1.147405e+01
1.721990378644606e-04	7.278036e+00	1.347571e+01	1.147388e+01
2.210271628644606e-04	8.479031e+00	1.347554e+01	1.147374e+01
2.698552878644606e-04	9.420052e+00	1.347541e+01	1.147363e+01
3.186834128644606e-04	1.015765e+01	1.347508e+01	1.147334e+01
3.675115378644605e-04	1.074840e+01	1.347203e+01	1.147074e+01
3.950235801209373e-04	1.102070e+01	1.346314e+01	1.146317e+01
4.014162149819996e-04	1.107933e+01	1.346522e+01	1.146494e+01
4.078088498430618e-04	1.113576e+01	1.346412e+01	1.146401e+01
4.142014847041240e-04	1.118999e+01	1.345984e+01	1.146036e+01
4.205941195651862e-04	1.124202e+01	1.345238e+01	1.145401e+01
4.269867544262485e-04	1.129185e+01	1.344174e+01	1.144495e+01
4.333793892873107e-04	1.133948e+01	1.342792e+01	1.143319e+01
4.397720241483729e-04	1.138491e+01	1.341092e+01	1.141872e+01
4.417844445121614e-04	1.139869e+01	1.339547e+01	1.140556e+01
4.428222730685722e-04	1.140565e+01	1.337365e+01	1.138698e+01
4.431243743292517e-04	1.140763e+01	1.335355e+01	1.136986e+01
4.431740961218558e-04	1.140795e+01	1.334572e+01	1.136320e+01
4.432536696249637e-04	1.140846e+01	1.332441e+01	1.134505e+01
4.433074356215894e-04	1.140880e+01	1.329109e+01	1.131668e+01
4.433517196446439e-04	1.140907e+01	1.322420e+01	1.125973e+01
4.433994981827726e-04	1.140933e+01	1.307710e+01	1.113448e+01
4.434493049300493e-04	1.140956e+01	1.281452e+01	1.091091e+01
4.434908624253202e-04	1.140969e+01	1.248850e+01	1.063332e+01
4.435262872483321e-04	1.140975e+01	1.212731e+01	1.032579e+01
4.435696020943798e-04	1.140978e+01	1.162242e+01	9.895893e+00
4.436071997362611e-04	1.140978e+01	1.116259e+01	9.504379e+00
4.436572238705143e-04	1.140978e+01	1.054341e+01	8.977175e+00
4.437493689249698e-04	1.140975e+01	9.398083e+00	8.001987e+00
4.439336590338809e-04	1.140961e+01	7.086175e+00	6.033514e+00
4.443022392517031e-04	1.140900e+01	2.373997e+00	2.021335e+00
4.450393996873473e-04	1.140700e+01	-7.246177e+00	-6.169755e+00
4.452236897962584e-04	1.140629e+01	-9.489471e+00	-8.079806e+00
4.455922700140806e-04	1.140456e+01	-1.334910e+01	-1.136608e+01
4.456037881458875e-04	1.140450e+01	-1.340661e+01	-1.141505e+01
4.471357435320333e-04	1.139661e+01	-1.344072e+01	-1.144409e+01
4.486676989181791e-04	1.138871e+01	-1.346686e+01	-1.146635e+01
4.501996543043249e-04	1.138082e+01	-1.348503e+01	-1.148182e+01
4.517316096904708e-04	1.137293e+01	-1.349524e+01	-1.149052e+01
4.532635650766166e-04	1.136504e+01	-1.349748e+01	-1.149243e+01
4.547955204627624e-04	1.135715e+01	-1.349176e+01	-1.148755e+01
4.563274758489082e-04	1.134927e+01	-1.347807e+01	-1.147590e+01
7.311423067653919e-04	9.985766e+00	-1.347808e+01	-1.147590e+01
1.005957137681876e-03	8.689796e+00	-1.347809e+01	-1.147591e+01
1.280771968598359e-03	7.461356e+00	-1.347809e+01	-1.147591e+01
1.555586799514843e-03	6.300446e+00	-1.347809e+01	-1.147591e+01
1.830401630431327e-03	5.207067e+00	-1.347809e+01	-1.147591e+01
2.105216461347811e-03	4.181218e+00	-1.347809e+01	-1.147591e+01
2.380031292264294e-03	3.222899e+00	-1.347809e+01	-1.147591e+01
2.526515667264293e-03	2.730749e+00	-1.347809e+01	-1.147591e+01
2.673000042264293e-03	2.252593e+00	-1.347809e+01	-1.147591e+01
2.819484417264292e-03	1.788430e+00	-1.347809e+01	-1.147591e+01
2.965968792264292e-03	1.338261e+00	-1.347809e+01	-1.147591e+01
3.112453167264292e-03	9.020848e-01	-1.347809e+01	-1.147591e+01
3.258937542264291e-03	4.799025e-01	-1.347809e+01	-1.147591e+01
3.405421917264290e-03	7.171369e-02	-1.347809e+01	-1.147591e+01
3.454250042264290e-03	-6.190290e-02	-1.347809e+01	-1.147591e+01
3.503078167264290e-03	-1.941413e-01	-1.347809e+01	-1.147591e+01
3.600734417264289e-03	-4.545403e-01	-1.347809e+01	-1.147591e+01
3.747218792264289e-03	-8.351538e-01	-1.347809e+01	-1.147591e+01
3.991359417264288e-03	-1.440191e+00	-1.347809e+01	-1.147591e+01
4.235500042264287e-03	-2.018152e+00	-1.347809e+01	-1.147591e+01
4.479640667264286e-03	-2.569037e+00	-1.347809e+01	-1.147591e+01
4.723781292264286e-03	-3.092846e+00	-1.347809e+01	-1.147591e+01
4.967921917264285e-03	-3.589579e+00	-1.347809e+01	-1.147591e+01
5.212062542264285e-03	-4.059236e+00	-1.347809e+01	-1.147591e+01
5.456203167264283e-03	-4.501817e+00	-1.347809e+01	-1.147591e+01
5.881705399407140e-03	-5.214213e+00	-1.347809e+01	-1.147591e+01
6.307207631549998e-03	-5.876337e+00	-1.347809e+01	-1.147591e+01
6.732709863692855e-03	-6.488191e+00	-1.347809e+01	-1.147591e+01
7.158212095835711e-03	-7.049773e+00	-1.347809e+01	-1.147591e+01
7.583714327978569e-03	-7.561084e+00	-1.347809e+01	-1.147591e+01
8.009216560121426e-03	-8.022124e+00	-1.347809e+01	-1.147591e+01
8.434718792264283e-03	-8.432893e+00	-1.347809e+01	-1.147591e+01
