;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
421,-0.02779,-0.0668149
422,-0.02778,-0.0668149
423,-0.02777,-0.0668149
424,-0.02776,-0.0668149
425,-0.02775,-0.0668149
426,-0.02774,-0.0668149
427,-0.02773,-0.0668149
428,-0.02772,-0.0668149
429,-0.02771,-0.0668149
430,-0.0277,-0.0668149
431,-0.02769,-0.0668149
432,-0.02768,-0.0668149
433,-0.02767,-0.0501112
434,-0.02766,-0.0501112
435,-0.02765,-0.0334074
436,-0.02764,-0.0501112
437,-0.02763,-0.0668149
438,-0.02762,-0.0501112
439,-0.02761,-0.0501112
440,-0.0276,-0.0334074
441,-0.02759,-0.0668149
442,-0.02758,-0.0334074
443,-0.02757,-0.0501112
444,-0.02756,-0.0334074
445,-0.02755,-0.0668149
446,-0.02754,-0.0668149
447,-0.02753,-0.0668149
448,-0.02752,-0.0668149
449,-0.02751,-0.0668149
450,-0.0275,-0.0668149
451,-0.02749,-0.0668149
452,-0.02748,-0.0334074
453,-0.02747,-0.0668149
454,-0.02746,-0.0668149
455,-0.02745,-0.0668149
456,-0.02744,-0.0668149
457,-0.02743,-0.0668149
458,-0.02742,-0.0668149
459,-0.02741,-0.0668149
460,-0.0274,-0.0668149
461,-0.02739,-0.0668149
462,-0.02738,-0.0668149
463,-0.02737,-0.0668149
464,-0.02736,-0.0668149
465,-0.02735,-0.0668149
466,-0.02734,-0.0668149
467,-0.02733,-0.0668149
468,-0.02732,-0.0334074
469,-0.02731,-0.0501112
470,-0.0273,-0.0501112
471,-0.02729,-0.0334074
472,-0.02728,-0.0501112
473,-0.02727,-0.0501112
474,-0.02726,-0.0501112
475,-0.02725,-0.0501112
476,-0.02724,-0.0501112
477,-0.02723,-0.0334074
478,-0.02722,-0.0668149
479,-0.02721,-0.0334074
480,-0.0272,-0.0501112
481,-0.02719,-0.0501112
482,-0.02718,-0.0501112
