time	V(n005)	V(n006)
4.750004492333757e-03	1.399575e+01	1.478060e+01
4.750005928723175e-03	1.417035e+01	1.492560e+01
4.750008192733620e-03	1.424788e+01	1.497284e+01
4.750011542665290e-03	1.428392e+01	1.498544e+01
4.750018242528630e-03	1.431082e+01	1.498966e+01
4.750026473759985e-03	1.432735e+01	1.499103e+01
4.750037537582965e-03	1.433966e+01	1.499158e+01
4.750053983349225e-03	1.435128e+01	1.499191e+01
4.750075272119040e-03	1.436147e+01	1.499211e+01
4.750097093942229e-03	1.436895e+01	1.499221e+01
4.750121589041263e-03	1.437564e+01	1.499228e+01
4.750122222940081e-03	1.437579e+01	1.499228e+01
4.750123490737718e-03	1.437608e+01	1.499228e+01
4.750126026332992e-03	1.437663e+01	1.499229e+01
4.750131097523539e-03	1.437771e+01	1.499230e+01
4.750131255998244e-03	1.437775e+01	1.499230e+01
4.750131572947653e-03	1.437781e+01	1.499230e+01
4.750132206846471e-03	1.437794e+01	1.499230e+01
4.750133514262784e-03	1.437821e+01	1.499230e+01
4.750134068924250e-03	1.437833e+01	1.499230e+01
4.750134293509823e-03	1.437837e+01	1.499230e+01
4.750134518095395e-03	1.437842e+01	1.499230e+01
4.750134742680968e-03	1.437846e+01	1.499230e+01
4.750134967266539e-03	1.437851e+01	1.499230e+01
4.750135191852111e-03	1.437855e+01	1.499230e+01
4.750135416437684e-03	1.437860e+01	1.499230e+01
4.750135641023256e-03	1.437865e+01	1.499230e+01
4.750135641037765e-03	1.437865e+01	1.499230e+01
4.750135641041825e-03	1.437865e+01	1.499230e+01
4.750135641045883e-03	1.437865e+01	1.499230e+01
4.750135641049942e-03	1.437865e+01	1.499230e+01
4.750135641054001e-03	1.437865e+01	1.499230e+01
4.750135641058061e-03	1.437865e+01	1.499230e+01
4.750135641062119e-03	1.437865e+01	1.499230e+01
4.750135641066178e-03	1.437865e+01	1.499230e+01
4.750135641080385e-03	1.437865e+01	1.499230e+01
4.750135641085221e-03	1.437865e+01	1.499230e+01
4.750135641085372e-03	1.437865e+01	1.499230e+01
4.750135641085674e-03	1.437865e+01	1.499230e+01
4.750135641086279e-03	1.437865e+01	1.499230e+01
4.750135641087488e-03	1.437865e+01	1.499230e+01
4.750135641089981e-03	1.437865e+01	1.499230e+01
4.750135641090132e-03	1.437865e+01	1.499230e+01
4.750135641090434e-03	1.437865e+01	1.499230e+01
4.750135641090445e-03	1.437865e+01	1.499230e+01
4.750135641090465e-03	1.437865e+01	1.499230e+01
4.750135641090504e-03	1.437865e+01	1.499230e+01
4.750135641090515e-03	1.437865e+01	1.499230e+01
4.750135641090535e-03	1.437865e+01	1.499230e+01
4.750135641090545e-03	1.437865e+01	1.499230e+01
4.750135641090565e-03	1.437865e+01	1.499230e+01
4.750135641090605e-03	1.437865e+01	1.499230e+01
4.750135641090685e-03	1.437865e+01	1.499230e+01
4.750135641090695e-03	1.437865e+01	1.499230e+01
4.750135641090715e-03	1.437865e+01	1.499230e+01
4.750136641090716e-03	1.437873e+01	1.499230e+01
4.750137641090716e-03	1.437881e+01	1.499230e+01
4.750138641090716e-03	1.437890e+01	1.499230e+01
4.750139430664160e-03	1.437900e+01	1.499231e+01
4.750139442832203e-03	1.437900e+01	1.499231e+01
4.750139661856966e-03	1.437905e+01	1.499231e+01
4.750139880881729e-03	1.437909e+01	1.499231e+01
4.750140099906492e-03	1.437913e+01	1.499231e+01
4.750140318931255e-03	1.437918e+01	1.499231e+01
4.750140537956017e-03	1.437922e+01	1.499231e+01
4.750140756980781e-03	1.437926e+01	1.499231e+01
4.750140976005544e-03	1.437931e+01	1.499231e+01
4.750142533514970e-03	1.437961e+01	1.499231e+01
4.750145648533822e-03	1.438020e+01	1.499231e+01
4.750151878571526e-03	1.438134e+01	1.499232e+01
