time	V(in)	V(out)
5.190288724094920e-06	5.584216e+00	1.427553e+01
5.239430183081314e-06	5.588497e+00	1.427592e+01
5.333865397211562e-06	5.596065e+00	1.427650e+01
5.431521647211562e-06	5.602974e+00	1.427704e+01
5.529177897211563e-06	5.608949e+00	1.427751e+01
5.626834147211563e-06	5.613985e+00	1.427791e+01
5.724490397211563e-06	5.618078e+00	1.427824e+01
5.822146647211563e-06	5.621226e+00	1.427849e+01
5.919802897211564e-06	5.623427e+00	1.427867e+01
6.017459147211564e-06	5.624681e+00	1.427878e+01
6.115115397211564e-06	5.624985e+00	1.427882e+01
6.212771647211564e-06	5.624340e+00	1.427878e+01
6.310427897211565e-06	5.622745e+00	1.427867e+01
6.505740397211565e-06	5.616715e+00	1.427823e+01
6.798709147211566e-06	5.600598e+00	1.427702e+01
6.994021647211566e-06	5.585022e+00	1.427585e+01
7.189334147211565e-06	5.565898e+00	1.427440e+01
7.384646647211566e-06	5.543227e+00	1.427268e+01
7.579959147211566e-06	5.517007e+00	1.427068e+01
7.775271647211565e-06	5.487240e+00	1.426842e+01
7.970584147211566e-06	5.453926e+00	1.426587e+01
8.165896647211565e-06	5.417063e+00	1.426306e+01
8.570472540068706e-06	5.327620e+00	1.425622e+01
8.975048432925845e-06	5.228146e+00	1.424861e+01
9.379624325782986e-06	5.118641e+00	1.424022e+01
9.784200218640127e-06	4.999106e+00	1.423106e+01
1.018877611149727e-05	4.869540e+00	1.422112e+01
1.059335200435441e-05	4.729943e+00	1.421040e+01
1.099792789721155e-05	4.580316e+00	1.419891e+01
1.150016004006869e-05	4.384132e+00	1.418384e+01
1.200239218292583e-05	4.191491e+00	1.416903e+01
1.250462432578297e-05	4.002394e+00	1.415449e+01
1.300685646864011e-05	3.816840e+00	1.414021e+01
1.350908861149725e-05	3.634830e+00	1.412619e+01
1.401132075435439e-05	3.456364e+00	1.411244e+01
1.451355289721153e-05	3.281441e+00	1.409896e+01
1.476466896864010e-05	3.202316e+00	1.409286e+01
1.501578504006867e-05	3.127773e+00	1.408710e+01
1.526690111149724e-05	3.057814e+00	1.408170e+01
1.551801718292581e-05	2.992437e+00	1.407665e+01
1.576913325435438e-05	2.931643e+00	1.407195e+01
1.602024932578295e-05	2.875431e+00	1.406760e+01
1.627136539721152e-05	2.823803e+00	1.406360e+01
1.633455618074300e-05	2.811828e+00	1.406267e+01
1.638865944669234e-05	2.801852e+00	1.406190e+01
1.644427095903722e-05	2.791865e+00	1.406112e+01
1.645647799028722e-05	2.789709e+00	1.406095e+01
1.648089205278722e-05	2.785438e+00	1.406062e+01
1.648699556841222e-05	2.784378e+00	1.406053e+01
1.649920259966222e-05	2.782269e+00	1.405966e+01
1.650225435747472e-05	2.781744e+00	1.404558e+01
1.650693376779534e-05	2.780940e+00	1.388875e+01
1.650945526950609e-05	2.780508e+00	1.341468e+01
1.651119558554220e-05	2.780210e+00	1.226553e+01
1.651263739419542e-05	2.779963e+00	1.002074e+01
1.651414284256114e-05	2.779705e+00	6.325374e+00
1.651502357479382e-05	2.779555e+00	3.902637e+00
1.651564867705660e-05	2.779448e+00	2.520594e+00
1.651650546938769e-05	2.779302e+00	1.357206e+00
1.651710978588944e-05	2.779199e+00	9.131344e-01
1.651756305259685e-05	2.779121e+00	7.428848e-01
1.651813268156633e-05	2.779024e+00	6.093889e-01
1.651878982626124e-05	2.778912e+00	5.080394e-01
1.651973427872002e-05	2.778751e+00	4.173271e-01
1.652073764679502e-05	2.778580e+00	3.617929e-01
1.652203417628408e-05	2.778359e+00	3.284113e-01
1.652353770951621e-05	2.778104e+00	3.163439e-01
1.652522900793694e-05	2.777816e+00	3.146229e-01
1.652704915099689e-05	2.777507e+00	3.145009e-01
1.653068943711680e-05	2.776890e+00	3.142996e-01
1.653797000935663e-05	2.775658e+00	3.140640e-01
1.654707310758538e-05	2.774126e+00	3.139108e-01
1.655832830543227e-05	2.772241e+00	3.138385e-01
1.657214102139237e-05	2.769943e+00	3.138094e-01
1.658856654299253e-05	2.767233e+00	3.138002e-01
1.660637830008830e-05	2.764322e+00	3.137958e-01
1.663873625686813e-05	2.759107e+00	3.137916e-01
1.689791750102484e-05	2.720543e+00	3.137564e-01
1.715709874518155e-05	2.688509e+00	3.137272e-01
1.741627998933827e-05	2.663004e+00	3.137038e-01
1.767546123349498e-05	2.644029e+00	3.136864e-01
1.793464247765169e-05	2.631583e+00	3.136749e-01
1.819382372180840e-05	2.625666e+00	3.136693e-01
1.845300496596512e-05	2.626279e+00	3.136697e-01
1.870412103739369e-05	2.633657e+00	3.136761e-01
1.895523710882226e-05	2.647058e+00	3.136880e-01
1.920635318025083e-05	2.666484e+00	3.137054e-01
1.945746925167940e-05	2.691934e+00	3.137282e-01
1.970858532310797e-05	2.723408e+00	3.137565e-01
1.995970139453654e-05	2.760907e+00	3.137903e-01
2.021081746596511e-05	2.804429e+00	3.138295e-01
2.060144246596510e-05	2.885297e+00	3.139024e-01
2.099206746596510e-05	2.976114e+00	3.139844e-01
2.138269246596510e-05	3.076878e+00	3.140754e-01
2.177331746596510e-05	3.187591e+00	3.141754e-01
2.216394246596509e-05	3.308251e+00	3.142845e-01
2.255456746596509e-05	3.438860e+00	3.144026e-01
2.294519246596509e-05	3.579417e+00	3.145298e-01
2.344742460882223e-05	3.772259e+00	3.147043e-01
2.394965675167937e-05	3.963120e+00	3.148771e-01
2.445188889453651e-05	4.151999e+00	3.150481e-01
2.495412103739365e-05	4.338896e+00	3.152174e-01
2.545635318025079e-05	4.523812e+00	3.153850e-01
2.595858532310793e-05	4.706746e+00	3.155509e-01
2.646081746596507e-05	4.887698e+00	3.157150e-01
2.682354068025078e-05	5.006962e+00	3.158232e-01
2.718626389453649e-05	5.116398e+00	3.159225e-01
2.754898710882220e-05	5.216006e+00	3.160129e-01
2.791171032310792e-05	5.305784e+00	3.160945e-01
2.827443353739363e-05	5.385735e+00	3.161672e-01
2.863715675167934e-05	5.455857e+00	3.162310e-01
2.899987996596505e-05	5.516150e+00	3.162859e-01
2.935717579064334e-05	5.561823e+00	3.163277e-01
