;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
172,-0.03028,2.6893,0.751667
173,-0.03027,2.6726,0.751667
174,-0.03026,2.6726,0.734964
175,-0.03025,2.6726,0.768371
176,-0.03024,2.6726,0.768371
177,-0.03023,2.6893,0.768371
178,-0.03022,2.65589,0.768371
179,-0.03021,2.65589,0.768371
180,-0.0302,2.6726,0.768371
181,-0.03019,2.63919,0.768371
182,-0.03018,2.63919,0.768371
183,-0.03017,2.65589,0.768371
184,-0.03016,2.62248,0.768371
185,-0.03015,2.62248,0.768371
186,-0.03014,2.62248,0.768371
187,-0.03013,2.60578,0.768371
188,-0.03012,2.60578,0.751667
189,-0.03011,2.60578,0.734964
190,-0.0301,2.58908,0.768371
191,-0.03009,2.58908,0.751667
192,-0.03008,2.60578,0.768371
193,-0.03007,2.57237,0.751667
194,-0.03006,2.57237,0.768371
195,-0.03005,2.57237,0.768371
196,-0.03004,2.58908,0.768371
197,-0.03003,2.55567,0.768371
198,-0.03002,2.55567,0.768371
199,-0.03001,2.55567,0.768371
200,-0.03,2.55567,0.768371
201,-0.02999,2.53897,0.768371
202,-0.02998,2.53897,0.768371
203,-0.02997,2.55567,0.768371
204,-0.02996,2.52226,0.768371
205,-0.02995,2.52226,0.768371
206,-0.02994,2.52226,0.768371
207,-0.02993,2.53897,0.768371
208,-0.02992,2.50556,0.768371
209,-0.02991,2.50556,0.768371
210,-0.0299,2.50556,0.768371
211,-0.02989,2.50556,0.768371
212,-0.02988,2.48885,0.768371
213,-0.02987,2.48885,0.768371
214,-0.02986,2.50556,0.768371
215,-0.02985,2.47215,0.751667
216,-0.02984,2.47215,0.751667
217,-0.02983,2.47215,0.768371
218,-0.02982,2.47215,0.751667
219,-0.02981,2.43874,0.751667
220,-0.0298,2.43874,0.768371
221,-0.02979,2.43874,0.768371
222,-0.02978,2.47215,0.768371
223,-0.02977,2.42204,0.768371
224,-0.02976,2.42204,0.768371
225,-0.02975,2.42204,0.768371
226,-0.02974,2.43874,0.768371
227,-0.02973,2.40534,0.768371
228,-0.02972,2.40534,0.768371
229,-0.02971,2.40534,0.768371
230,-0.0297,2.40534,0.768371
231,-0.02969,2.38863,0.768371
232,-0.02968,2.38863,0.768371
233,-0.02967,2.40534,0.768371
234,-0.02966,2.37193,0.768371
235,-0.02965,2.37193,0.768371
236,-0.02964,2.38863,0.768371
237,-0.02963,2.35522,0.768371
238,-0.02962,2.35522,0.768371
239,-0.02961,2.35522,0.768371
240,-0.0296,2.35522,0.768371
241,-0.02959,2.35522,0.768371
242,-0.02958,2.33852,0.768371
243,-0.02957,2.33852,0.768371
244,-0.02956,2.35522,0.768371
245,-0.02955,2.32182,0.768371
246,-0.02954,2.32182,0.768371
247,-0.02953,2.32182,0.768371
248,-0.02952,2.32182,0.768371
249,-0.02951,2.30511,0.768371
250,-0.0295,2.30511,0.768371
251,-0.02949,2.30511,0.768371
252,-0.02948,2.30511,0.768371
253,-0.02947,2.28841,0.768371
254,-0.02946,2.28841,0.768371
255,-0.02945,2.28841,0.768371
256,-0.02944,2.27171,0.768371
257,-0.02943,2.27171,0.768371
258,-0.02942,2.27171,0.768371
259,-0.02941,2.27171,0.768371
260,-0.0294,2.27171,0.768371
261,-0.02939,2.255,0.768371
262,-0.02938,2.255,0.768371
263,-0.02937,2.255,0.768371
264,-0.02936,2.2383,0.768371
265,-0.02935,2.2383,0.768371
266,-0.02934,2.2383,0.768371
267,-0.02933,2.2383,0.751667
268,-0.02932,2.2216,0.751667
269,-0.02931,2.2216,0.768371
270,-0.0293,2.2216,0.734964
271,-0.02929,2.2216,0.751667
272,-0.02928,2.2216,0.768371
273,-0.02927,2.18819,0.768371
274,-0.02926,2.18819,0.768371
275,-0.02925,2.18819,0.768371
276,-0.02924,2.17148,0.768371
277,-0.02923,2.17148,0.768371
278,-0.02922,2.17148,0.768371
279,-0.02921,2.17148,0.768371
280,-0.0292,2.17148,0.768371
281,-0.02919,2.15478,0.768371
282,-0.02918,2.15478,0.768371
283,-0.02917,2.15478,0.768371
284,-0.02916,2.15478,0.768371
285,-0.02915,2.13808,0.768371
286,-0.02914,2.13808,0.768371
287,-0.02913,2.13808,0.768371
288,-0.02912,2.12137,0.751667
289,-0.02911,2.12137,0.734964
290,-0.0291,2.12137,0.768371
291,-0.02909,2.12137,0.768371
292,-0.02908,2.12137,0.768371
293,-0.02907,2.10467,0.768371
294,-0.02906,2.10467,0.768371
295,-0.02905,2.10467,0.768371
296,-0.02904,2.10467,0.768371
297,-0.02903,2.08797,0.768371
298,-0.02902,2.08797,0.768371
299,-0.02901,2.08797,0.768371
300,-0.029,2.08797,0.768371
301,-0.02899,2.08797,0.768371
302,-0.02898,2.07126,0.768371
303,-0.02897,2.07126,0.768371
304,-0.02896,2.07126,0.768371
305,-0.02895,2.05456,0.768371
306,-0.02894,2.05456,0.768371
307,-0.02893,2.05456,0.768371
308,-0.02892,2.05456,0.768371
309,-0.02891,2.05456,0.768371
310,-0.0289,2.03785,0.768371
311,-0.02889,2.03785,0.768371
312,-0.02888,2.03785,0.768371
313,-0.02887,2.03785,0.768371
314,-0.02886,2.02115,0.768371
315,-0.02885,2.02115,0.768371
316,-0.02884,2.02115,0.768371
317,-0.02883,2.02115,0.768371
318,-0.02882,2.02115,0.768371
319,-0.02881,2.00445,0.768371
320,-0.0288,2.00445,0.768371
321,-0.02879,2.00445,0.768371
322,-0.02878,1.98774,0.768371
323,-0.02877,1.98774,0.768371
324,-0.02876,1.98774,0.768371
325,-0.02875,1.98774,0.768371
326,-0.02874,1.98774,0.768371
327,-0.02873,1.98774,0.768371
328,-0.02872,1.97104,0.768371
329,-0.02871,1.97104,0.768371
330,-0.0287,1.97104,0.768371
331,-0.02869,1.97104,0.768371
332,-0.02868,1.93763,0.768371
333,-0.02867,1.93763,0.768371
334,-0.02866,1.93763,0.768371
335,-0.02865,1.93763,0.768371
336,-0.02864,1.93763,0.768371
337,-0.02863,1.92093,0.768371
338,-0.02862,1.92093,0.768371
339,-0.02861,1.92093,0.768371
340,-0.0286,1.92093,0.768371
341,-0.02859,1.90422,0.768371
342,-0.02858,1.90422,0.768371
343,-0.02857,1.90422,0.768371
344,-0.02856,1.90422,0.768371
345,-0.02855,1.90422,0.768371
346,-0.02854,1.88752,0.768371
347,-0.02853,1.88752,0.768371
348,-0.02852,1.88752,0.768371
349,-0.02851,1.88752,0.768371
350,-0.0285,1.87082,0.768371
351,-0.02849,1.87082,0.768371
352,-0.02848,1.87082,0.768371
353,-0.02847,1.87082,0.768371
354,-0.02846,1.87082,0.768371
355,-0.02845,1.85411,0.768371
356,-0.02844,1.85411,0.768371
357,-0.02843,1.85411,0.768371
358,-0.02842,1.85411,0.768371
359,-0.02841,1.83741,0.768371
360,-0.0284,1.83741,0.768371
361,-0.02839,1.83741,0.768371
362,-0.02838,1.83741,0.768371
363,-0.02837,1.83741,0.768371
364,-0.02836,1.82071,0.768371
365,-0.02835,1.82071,0.768371
366,-0.02834,1.82071,0.768371
367,-0.02833,1.82071,0.768371
368,-0.02832,1.804,0.768371
369,-0.02831,1.804,0.768371
370,-0.0283,1.804,0.768371
371,-0.02829,1.804,0.768371
372,-0.02828,1.804,0.768371
373,-0.02827,1.7873,0.768371
374,-0.02826,1.7873,0.768371
375,-0.02825,1.7873,0.768371
376,-0.02824,1.7873,0.768371
377,-0.02823,1.7873,0.768371
378,-0.02822,1.77059,0.768371
