time	V(v_osc2)	V(n007)
7.859496798900075e-06	2.865548e-01	-1.360543e+01
7.929642019607521e-06	2.865766e-01	-1.360543e+01
7.956351227243210e-06	2.865849e-01	-1.360543e+01
8.060618364856736e-06	2.866172e-01	-1.360543e+01
8.147940105414834e-06	2.866442e-01	-1.360543e+01
8.321072187889230e-06	2.866971e-01	-1.360543e+01
8.605194899023945e-06	2.867833e-01	-1.360543e+01
8.902098998029193e-06	2.868719e-01	-1.360543e+01
9.495907196039688e-06	2.870452e-01	-1.360543e+01
1.034433860298136e-05	2.872854e-01	-1.360543e+01
1.132257112171547e-05	2.875519e-01	-1.360543e+01
1.225781949415220e-05	2.877957e-01	-1.360543e+01
1.343578364548817e-05	2.880889e-01	-1.360543e+01
1.440335033198137e-05	2.883200e-01	-1.360543e+01
1.489375171723310e-05	2.884331e-01	-1.360543e+01
1.537441841404849e-05	2.885412e-01	-1.360543e+01
1.558719040007273e-05	2.885883e-01	-1.360543e+01
1.584212396015956e-05	2.886440e-01	-1.360543e+01
1.613724070530989e-05	2.887076e-01	-1.360543e+01
1.636043905543361e-05	2.887552e-01	-1.360543e+01
1.662854051982821e-05	2.888117e-01	-1.360543e+01
1.691462860860065e-05	2.888713e-01	-1.360543e+01
1.717721647686259e-05	2.889254e-01	-1.360543e+01
1.726034281642495e-05	2.889423e-01	-1.360543e+01
1.734346915598730e-05	2.889592e-01	-1.360543e+01
1.742659549554965e-05	2.889761e-01	-1.360543e+01
1.750972183511200e-05	2.889928e-01	-1.360543e+01
1.759284817467435e-05	2.890095e-01	-1.360543e+01
1.767597451423670e-05	2.890261e-01	-1.360543e+01
1.775910085379905e-05	2.890427e-01	-1.360543e+01
1.800738027421597e-05	2.890916e-01	-1.360543e+01
1.850393911504980e-05	2.891885e-01	-1.360543e+01
1.851583249873235e-05	2.891908e-01	-1.360543e+01
1.863476633555786e-05	2.892135e-01	-1.360543e+01
1.875370017238337e-05	2.892362e-01	-1.360543e+01
1.887263400920888e-05	2.892587e-01	-1.360543e+01
1.899156784603439e-05	2.892811e-01	-1.360543e+01
1.911050168285990e-05	2.893035e-01	-1.360543e+01
1.922943551968541e-05	2.893257e-01	-1.360543e+01
1.934836935651092e-05	2.893478e-01	-1.360543e+01
1.944389917339693e-05	2.893655e-01	-1.360543e+01
1.951636514770106e-05	2.893788e-01	-1.360543e+01
1.955239940295492e-05	2.893854e-01	-1.360543e+01
1.957816216333607e-05	2.893901e-01	-1.360543e+01
1.960334223757163e-05	2.893948e-01	-1.360543e+01
1.965370238604275e-05	2.894040e-01	-1.360543e+01
1.969271703038693e-05	2.894111e-01	-1.360543e+01
1.972737559093872e-05	2.894174e-01	-1.360543e+01
1.976117007098946e-05	2.894236e-01	-1.360543e+01
1.978005087582676e-05	2.894270e-01	-1.360543e+01
1.979275218560519e-05	2.894293e-01	-1.360543e+01
1.980075000777346e-05	2.894307e-01	-1.360543e+01
1.980644312615544e-05	2.894318e-01	-1.360543e+01
1.981249271681051e-05	2.894329e-01	-1.360543e+01
1.981830776916989e-05	2.894339e-01	-1.360543e+01
1.982299063694891e-05	2.894348e-01	-1.360543e+01
1.982718885196759e-05	2.894355e-01	-1.360543e+01
1.983272394950980e-05	2.894365e-01	-1.360543e+01
1.983869703715814e-05	2.894376e-01	-1.360543e+01
1.984158256378454e-05	2.894381e-01	-1.360543e+01
1.984425537835206e-05	2.894386e-01	-1.360543e+01
1.984770035388802e-05	2.894393e-01	-1.360543e+01
1.985098067319543e-05	2.894398e-01	-1.360543e+01
1.985419943798702e-05	2.894404e-01	-1.360543e+01
1.985712932418352e-05	2.894410e-01	-1.360543e+01
1.986012023287935e-05	2.894415e-01	-1.360543e+01
1.986305349244373e-05	2.894420e-01	-1.360543e+01
1.986605928165968e-05	2.894426e-01	-1.360543e+01
1.986888881355509e-05	2.894431e-01	-1.360543e+01
1.987195429794649e-05	2.894436e-01	-1.360543e+01
1.987565137051569e-05	2.894443e-01	-1.360543e+01
1.988006386302131e-05	2.894451e-01	-1.360543e+01
1.988549459978653e-05	2.894461e-01	-1.360543e+01
1.989225325269049e-05	2.894473e-01	-1.360543e+01
1.990127220567634e-05	2.894489e-01	-1.360543e+01
1.991404838548610e-05	2.894512e-01	-1.360543e+01
1.993455344253131e-05	2.894549e-01	-1.360543e+01
1.997305580842220e-05	2.894619e-01	-1.360543e+01
2.005006054020399e-05	2.894757e-01	-1.360543e+01
2.020407000376755e-05	2.895032e-01	-1.360543e+01
2.051208893089467e-05	2.895576e-01	-1.360543e+01
2.067763852299274e-05	2.895866e-01	-1.360543e+01
2.077244115688903e-05	2.896031e-01	-1.360543e+01
2.082717505124367e-05	2.896127e-01	-1.360543e+01
2.093341659373637e-05	2.896310e-01	-1.360543e+01
2.100330783099706e-05	2.896430e-01	-1.360543e+01
2.114309030551842e-05	2.896669e-01	-1.360543e+01
2.142265525456116e-05	2.897141e-01	-1.360543e+01
2.198178515264662e-05	2.898065e-01	-1.360543e+01
