;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
230,-0.0297,-13.2795
231,-0.02969,-13.2126
232,-0.02968,-13.1625
233,-0.02967,-13.1291
234,-0.02966,-13.1124
235,-0.02965,-13.079
236,-0.02964,-13.0623
237,-0.02963,-13.0623
238,-0.02962,-13.0289
239,-0.02961,-13.0289
240,-0.0296,-13.0289
241,-0.02959,-13.0289
242,-0.02958,-13.0289
243,-0.02957,-13.0122
244,-0.02956,-13.0122
245,-0.02955,-13.0122
246,-0.02954,-13.0122
247,-0.02953,-13.0122
248,-0.02952,-13.0122
249,-0.02951,-13.0122
250,-0.0295,-13.0122
251,-0.02949,-13.0122
252,-0.02948,-13.0122
253,-0.02947,-13.0122
254,-0.02946,-13.0122
255,-0.02945,-13.0122
256,-0.02944,-13.0289
257,-0.02943,-13.0122
258,-0.02942,-13.0122
259,-0.02941,-13.0122
260,-0.0294,-13.0289
261,-0.02939,-13.0289
262,-0.02938,-13.0289
263,-0.02937,-13.0289
264,-0.02936,-13.0289
265,-0.02935,-13.0289
266,-0.02934,-13.0289
267,-0.02933,-13.0289
268,-0.02932,-13.0289
269,-0.02931,-13.0289
270,-0.0293,-13.0289
271,-0.02929,-13.0289
272,-0.02928,-13.0289
273,-0.02927,-13.0289
274,-0.02926,-13.0289
275,-0.02925,-13.0289
276,-0.02924,-13.0289
277,-0.02923,-13.0289
278,-0.02922,-13.0289
279,-0.02921,-13.0289
280,-0.0292,-13.0289
281,-0.02919,-13.0289
282,-0.02918,-13.0289
283,-0.02917,-13.0289
284,-0.02916,-13.0289
285,-0.02915,-13.0289
286,-0.02914,-13.0289
287,-0.02913,-13.0289
288,-0.02912,-13.0289
289,-0.02911,-13.0289
290,-0.0291,-13.0289
291,-0.02909,-13.0289
292,-0.02908,-13.0289
293,-0.02907,-13.0289
294,-0.02906,-13.0289
295,-0.02905,-13.0289
296,-0.02904,-13.0289
297,-0.02903,-13.0289
298,-0.02902,-13.0289
299,-0.02901,-13.0289
300,-0.029,-13.0289
301,-0.02899,-13.0289
302,-0.02898,-13.0289
303,-0.02897,-13.0289
304,-0.02896,-13.0289
305,-0.02895,-13.0289
306,-0.02894,-13.0289
307,-0.02893,-13.0289
308,-0.02892,-13.0289
309,-0.02891,-13.0289
310,-0.0289,-13.0289
311,-0.02889,-13.0623
312,-0.02888,-13.0289
313,-0.02887,-13.0289
314,-0.02886,-13.0289
315,-0.02885,-13.0289
316,-0.02884,-13.0289
317,-0.02883,-13.0289
318,-0.02882,-13.0289
319,-0.02881,-13.0289
320,-0.0288,-13.079
321,-0.02879,-13.0289
322,-0.02878,-13.0623
323,-0.02877,-13.0623
324,-0.02876,-13.0623
325,-0.02875,-13.0289
326,-0.02874,-13.0289
327,-0.02873,-13.0623
328,-0.02872,-13.0623
329,-0.02871,-13.0623
330,-0.0287,-13.0623
331,-0.02869,-13.0623
332,-0.02868,-13.0623
333,-0.02867,-13.0623
334,-0.02866,-13.0623
335,-0.02865,-13.0623
336,-0.02864,-13.0623
337,-0.02863,-13.0623
338,-0.02862,-13.0623
339,-0.02861,-13.0623
340,-0.0286,-13.0623
341,-0.02859,-13.0623
342,-0.02858,-13.0623
343,-0.02857,-13.0623
344,-0.02856,-13.0623
345,-0.02855,-13.0623
346,-0.02854,-13.0623
347,-0.02853,-13.0623
348,-0.02852,-13.0623
349,-0.02851,-13.0623
350,-0.0285,-13.0623
351,-0.02849,-13.0623
352,-0.02848,-13.0623
353,-0.02847,-13.0623
354,-0.02846,-13.0623
355,-0.02845,-13.0623
356,-0.02844,-13.0623
357,-0.02843,-13.0623
358,-0.02842,-13.0623
359,-0.02841,-13.0623
360,-0.0284,-13.0623
361,-0.02839,-13.0623
362,-0.02838,-13.0623
363,-0.02837,-13.0623
364,-0.02836,-13.0623
365,-0.02835,-13.0623
366,-0.02834,-13.0623
367,-0.02833,-13.0623
368,-0.02832,-13.0623
369,-0.02831,-13.0623
370,-0.0283,-13.0623
371,-0.02829,-13.0623
372,-0.02828,-13.0623
373,-0.02827,-13.0623
374,-0.02826,-13.0623
375,-0.02825,-13.0623
376,-0.02824,-13.0623
377,-0.02823,-13.0623
378,-0.02822,-13.0623
379,-0.02821,-13.0623
380,-0.0282,-13.0623
381,-0.02819,-13.0623
382,-0.02818,-13.0623
383,-0.02817,-13.0623
384,-0.02816,-13.0623
385,-0.02815,-13.0623
386,-0.02814,-13.0623
387,-0.02813,-13.0623
388,-0.02812,-13.0623
389,-0.02811,-13.0623
390,-0.0281,-13.0623
391,-0.02809,-13.0623
392,-0.02808,-13.0623
393,-0.02807,-13.0623
394,-0.02806,-13.0623
395,-0.02805,-13.0623
396,-0.02804,-13.0623
397,-0.02803,-13.0623
398,-0.02802,-13.0623
399,-0.02801,-13.0623
400,-0.028,-13.0623
401,-0.02799,-13.0623
402,-0.02798,-13.0623
403,-0.02797,-13.0623
404,-0.02796,-13.0623
405,-0.02795,-13.0623
406,-0.02794,-13.0623
407,-0.02793,-13.0623
408,-0.02792,-13.0623
409,-0.02791,-13.0623
410,-0.0279,-13.0623
411,-0.02789,-13.0623
412,-0.02788,-13.0623
413,-0.02787,-13.0623
414,-0.02786,-13.0623
415,-0.02785,-13.0623
416,-0.02784,-13.0623
417,-0.02783,-13.0623
418,-0.02782,-13.0623
419,-0.02781,-13.0623
420,-0.0278,-13.0623
421,-0.02779,-13.0623
422,-0.02778,-13.0623
423,-0.02777,-13.0623
424,-0.02776,-13.0623
425,-0.02775,-13.0623
426,-0.02774,-13.0623
427,-0.02773,-13.0623
428,-0.02772,-13.0623
429,-0.02771,-13.0623
430,-0.0277,-13.0623
431,-0.02769,-13.0623
432,-0.02768,-13.0623
433,-0.02767,-13.0623
434,-0.02766,-13.0623
435,-0.02765,-13.0623
436,-0.02764,-13.0623
437,-0.02763,-13.0623
438,-0.02762,-13.0623
439,-0.02761,-13.0623
440,-0.0276,-13.0623
441,-0.02759,-13.0623
442,-0.02758,-13.0623
443,-0.02757,-13.0623
444,-0.02756,-13.0623
445,-0.02755,-13.0623
446,-0.02754,-13.0623
447,-0.02753,-13.0623
448,-0.02752,-13.0623
449,-0.02751,-13.0623
450,-0.0275,-13.0623
451,-0.02749,-13.0623
452,-0.02748,-13.0623
453,-0.02747,-13.0623
454,-0.02746,-13.0623
455,-0.02745,-13.0623
456,-0.02744,-13.0623
457,-0.02743,-13.0623
458,-0.02742,-13.0623
459,-0.02741,-13.0623
460,-0.0274,-13.0623
461,-0.02739,-13.0623
462,-0.02738,-13.0623
463,-0.02737,-13.0623
464,-0.02736,-13.0623
465,-0.02735,-13.0623
466,-0.02734,-13.0623
467,-0.02733,-13.0623
468,-0.02732,-13.0623
469,-0.02731,-13.0623
470,-0.0273,-13.0623
471,-0.02729,-13.0623
472,-0.02728,-13.0623
473,-0.02727,-13.0623
474,-0.02726,-13.0623
475,-0.02725,-13.0623
476,-0.02724,-13.0623
477,-0.02723,-13.0623
478,-0.02722,-13.079
479,-0.02721,-13.0623
480,-0.0272,-13.079
481,-0.02719,-13.079
482,-0.02718,-13.0623
483,-0.02717,-13.0623
484,-0.02716,-13.0623
485,-0.02715,-13.0623
486,-0.02714,-13.0623
487,-0.02713,-13.079
488,-0.02712,-13.079
489,-0.02711,-13.0623
490,-0.0271,-13.0623
491,-0.02709,-13.0957
492,-0.02708,-13.079
493,-0.02707,-13.0623
494,-0.02706,-13.079
495,-0.02705,-13.079
496,-0.02704,-13.079
497,-0.02703,-13.079
498,-0.02702,-13.079
499,-0.02701,-13.0623
500,-0.027,-13.0623
501,-0.02699,-13.0623
502,-0.02698,-13.0623
503,-0.02697,-13.079
504,-0.02696,-13.079
505,-0.02695,-13.079
506,-0.02694,-13.079
507,-0.02693,-13.079
508,-0.02692,-13.079
509,-0.02691,-13.079
510,-0.0269,-13.079
511,-0.02689,-13.079
512,-0.02688,-13.079
513,-0.02687,-13.079
514,-0.02686,-13.0623
515,-0.02685,-13.0957
516,-0.02684,-13.079
517,-0.02683,-13.079
518,-0.02682,-13.079
519,-0.02681,-13.079
520,-0.0268,-13.079
521,-0.02679,-13.079
522,-0.02678,-13.079
523,-0.02677,-13.079
524,-0.02676,-13.079
525,-0.02675,-13.079
526,-0.02674,-13.079
527,-0.02673,-13.079
528,-0.02672,-13.079
529,-0.02671,-13.079
530,-0.0267,-13.079
531,-0.02669,-13.079
532,-0.02668,-13.079
533,-0.02667,-13.079
534,-0.02666,-13.079
535,-0.02665,-13.079
536,-0.02664,-13.079
537,-0.02663,-13.079
538,-0.02662,-13.079
539,-0.02661,-13.079
540,-0.0266,-13.079
541,-0.02659,-13.079
542,-0.02658,-13.079
543,-0.02657,-13.079
544,-0.02656,-13.079
545,-0.02655,-13.079
546,-0.02654,-13.079
547,-0.02653,-13.079
548,-0.02652,-13.079
549,-0.02651,-13.079
550,-0.0265,-13.079
551,-0.02649,-13.079
552,-0.02648,-13.079
553,-0.02647,-13.079
554,-0.02646,-13.079
555,-0.02645,-13.079
556,-0.02644,-13.079
557,-0.02643,-13.079
558,-0.02642,-13.079
559,-0.02641,-13.079
560,-0.0264,-13.079
561,-0.02639,-13.079
562,-0.02638,-13.079
563,-0.02637,-13.079
564,-0.02636,-13.079
565,-0.02635,-13.079
566,-0.02634,-13.079
567,-0.02633,-13.079
568,-0.02632,-13.079
569,-0.02631,-13.079
570,-0.0263,-13.079
571,-0.02629,-13.079
572,-0.02628,-13.079
573,-0.02627,-13.079
574,-0.02626,-13.079
575,-0.02625,-13.079
576,-0.02624,-13.079
577,-0.02623,-13.079
