time	V(integrateur)	V(osc_1)	V(out)
9.264531177693124e-05	5.852461e+00	1.347721e+01	1.274464e+01
9.265054008585939e-05	5.851331e+00	1.347721e+01	1.294603e+01
9.265633232034311e-05	5.841271e+00	1.347721e+01	1.304030e+01
9.266410570359616e-05	5.819023e+00	1.347721e+01	1.308362e+01
9.267379632012067e-05	5.784851e+00	1.347721e+01	1.309682e+01
9.268886766533417e-05	5.729563e+00	1.347720e+01	1.309523e+01
9.270678629364967e-05	5.671105e+00	1.347720e+01	1.308730e+01
9.272642483770625e-05	5.622016e+00	1.347720e+01	1.307893e+01
9.274507251702015e-05	5.591539e+00	1.347720e+01	1.307323e+01
9.276500924173571e-05	5.573928e+00	1.347720e+01	1.306964e+01
9.278748938707122e-05	5.565223e+00	1.347720e+01	1.306773e+01
9.280113204301887e-05	5.563658e+00	1.347720e+01	1.306734e+01
9.280959456759580e-05	5.563767e+00	1.347720e+01	1.306736e+01
9.281934718467083e-05	5.564258e+00	1.347720e+01	1.306750e+01
9.282912594453865e-05	5.564797e+00	1.347720e+01	1.306769e+01
9.284023707792181e-05	5.565282e+00	1.347720e+01	1.306793e+01
9.285080173902262e-05	5.565487e+00	1.347720e+01	1.306813e+01
9.286221219772725e-05	5.565343e+00	1.347720e+01	1.306831e+01
9.287455346411282e-05	5.564727e+00	1.347720e+01	1.306845e+01
9.289065841431091e-05	5.563254e+00	1.347720e+01	1.306851e+01
9.291425926610287e-05	5.560108e+00	1.347720e+01	1.306843e+01
9.295407453223034e-05	5.553575e+00	1.347720e+01	1.306805e+01
9.298731343890428e-05	5.547677e+00	1.347720e+01	1.306763e+01
9.302445807259606e-05	5.541075e+00	1.347720e+01	1.306713e+01
9.306444370546160e-05	5.534193e+00	1.347720e+01	1.306662e+01
9.312156116056056e-05	5.524572e+00	1.347720e+01	1.306594e+01
9.321037029050468e-05	5.509672e+00	1.347720e+01	1.306489e+01
9.330811626288155e-05	5.493234e+00	1.347720e+01	1.306374e+01
9.346057375326372e-05	5.467581e+00	1.347720e+01	1.306193e+01
9.376548873402807e-05	5.416319e+00	1.347719e+01	1.305832e+01
9.422030418088610e-05	5.339916e+00	1.347719e+01	1.305294e+01
9.482180869946517e-05	5.238983e+00	1.347718e+01	1.304583e+01
9.552991493900001e-05	5.120335e+00	1.347717e+01	1.303747e+01
9.650972642425565e-05	4.956486e+00	1.347716e+01	1.302593e+01
1.080168743951837e-04	3.056731e+00	1.347705e+01	1.289213e+01
1.080562493951838e-04	3.050302e+00	1.347704e+01	1.289167e+01
1.081349993951840e-04	3.037464e+00	1.347704e+01	1.289077e+01
1.081391902655292e-04	3.036781e+00	1.347704e+01	1.289072e+01
1.081475720062196e-04	3.035414e+00	1.347704e+01	1.289063e+01
1.081643354876021e-04	3.032682e+00	1.347704e+01	1.289043e+01
1.081978624503654e-04	3.027216e+00	1.347704e+01	1.289005e+01
1.081989101679517e-04	3.027046e+00	1.347704e+01	1.289004e+01
1.082010056031243e-04	3.026704e+00	1.347704e+01	1.289001e+01
1.082051964734695e-04	3.026021e+00	1.347704e+01	1.288996e+01
1.082135782141599e-04	3.024655e+00	1.347704e+01	1.288987e+01
1.082303416955425e-04	3.021922e+00	1.347704e+01	1.288964e+01
1.082345325658877e-04	3.021085e+00	1.347704e+01	1.288062e+01
1.082429143065781e-04	3.018872e+00	1.347704e+01	1.283062e+01
1.082435039928224e-04	3.018545e+00	1.347704e+01	1.281594e+01
1.082446833653092e-04	3.016879e+00	1.347704e+01	1.271954e+01
1.082462310663581e-04	3.011066e+00	1.347704e+01	1.235354e+01
1.082477002949944e-04	2.996378e+00	1.347704e+01	1.140727e+01
1.082491478852764e-04	2.965399e+00	1.347704e+01	9.418153e+00
1.082503879387044e-04	2.922514e+00	1.347704e+01	6.728650e+00
1.082515906056583e-04	2.872375e+00	1.347704e+01	3.713958e+00
1.082522573846289e-04	2.847285e+00	1.347704e+01	2.333397e+00
1.082529869362598e-04	2.826929e+00	1.347704e+01	1.392940e+00
1.082536704904852e-04	2.813287e+00	1.347704e+01	9.127986e-01
1.082541647239570e-04	2.805782e+00	1.347704e+01	7.278942e-01
1.082547599804001e-04	2.798219e+00	1.347704e+01	5.937778e-01
1.082553857183477e-04	2.791308e+00	1.347704e+01	5.016745e-01
1.082564132305255e-04	2.781490e+00	1.347704e+01	4.083534e-01
1.082574113576359e-04	2.773362e+00	1.347704e+01	3.565582e-01
1.082587638817235e-04	2.764279e+00	1.347704e+01	3.253834e-01
1.082602738511872e-04	2.756129e+00	1.347704e+01	3.151532e-01
1.082619806763198e-04	2.749017e+00	1.347704e+01	3.139842e-01
1.082638234903947e-04	2.743792e+00	1.347704e+01	3.138508e-01
1.082675091185429e-04	2.739599e+00	1.347704e+01	3.136384e-01
1.082748803748410e-04	2.744922e+00	1.347704e+01	3.134015e-01
1.082843401420085e-04	2.767646e+00	1.347704e+01	3.132748e-01
1.082957495855234e-04	2.807936e+00	1.347704e+01	3.132696e-01
1.083096933486710e-04	2.862099e+00	1.347704e+01	3.133414e-01
1.083269184184738e-04	2.923913e+00	1.347704e+01	3.134546e-01
1.083450124793363e-04	2.975739e+00	1.347704e+01	3.135585e-01
1.083642299243640e-04	3.013827e+00	1.347704e+01	3.136382e-01
1.083836644193790e-04	3.036516e+00	1.347704e+01	3.136860e-01
1.084058581911542e-04	3.049227e+00	1.347704e+01	3.137121e-01
1.084230100233952e-04	3.053175e+00	1.347704e+01	3.137199e-01
1.084328022751581e-04	3.053785e+00	1.347704e+01	3.137188e-01
1.084409404942550e-04	3.053812e+00	1.347704e+01	3.137175e-01
1.084501354733109e-04	3.053720e+00	1.347704e+01	3.137157e-01
1.084594364483930e-04	3.053674e+00	1.347704e+01	3.137133e-01
1.084697578071416e-04	3.053804e+00	1.347704e+01	3.137112e-01
1.084803360214843e-04	3.054228e+00	1.347704e+01	3.137091e-01
1.084923027029963e-04	3.055147e+00	1.347704e+01	3.137084e-01
1.085092162790586e-04	3.057179e+00	1.347704e+01	3.137075e-01
1.085315486001517e-04	3.060896e+00	1.347704e+01	3.137095e-01
1.085659353848734e-04	3.067909e+00	1.347704e+01	3.137147e-01
1.085992042788170e-04	3.075351e+00	1.347704e+01	3.137215e-01
1.086366492009348e-04	3.083873e+00	1.347704e+01	3.137296e-01
1.086799740691365e-04	3.093520e+00	1.347704e+01	3.137387e-01
1.087330055308464e-04	3.105088e+00	1.347704e+01	3.137491e-01
1.090996190032077e-04	3.184697e+00	1.347703e+01	3.138212e-01
1.106424954976353e-04	3.519950e+00	1.347702e+01	3.141199e-01
1.121853719920629e-04	3.855190e+00	1.347700e+01	3.144218e-01
1.137282484864905e-04	4.190416e+00	1.347699e+01	3.147269e-01
1.152711249809181e-04	4.525630e+00	1.347697e+01	3.150353e-01
1.168140014753457e-04	4.860831e+00	1.347696e+01	3.153469e-01
1.183568779697733e-04	5.196019e+00	1.347694e+01	3.156618e-01
1.198997544642009e-04	5.531194e+00	1.347693e+01	3.159799e-01
1.199282033002051e-04	5.537376e+00	1.347693e+01	3.159668e-01
1.199566521362093e-04	5.543557e+00	1.347693e+01	3.159583e-01
1.199851009722135e-04	5.549738e+00	1.347693e+01	3.159543e-01
1.200135498082177e-04	5.555918e+00	1.347693e+01	3.159549e-01
1.200419986442219e-04	5.562098e+00	1.347693e+01	3.159599e-01
1.200704474802261e-04	5.568278e+00	1.347693e+01	3.159695e-01
1.200988963162303e-04	5.574458e+00	1.347693e+01	3.159837e-01
1.201203297778383e-04	5.579871e+00	1.347693e+01	3.579853e-01
1.201330481127114e-04	5.586480e+00	1.347693e+01	5.715582e-01
1.201411751888867e-04	5.597957e+00	1.347693e+01	1.109897e+00
1.201466371830787e-04	5.616096e+00	1.347693e+01	2.040807e+00
1.201513279055523e-04	5.644602e+00	1.347693e+01	3.516939e+00
1.201557712549907e-04	5.683711e+00	1.347693e+01	5.484635e+00
1.201606517079526e-04	5.733700e+00	1.347693e+01	7.864212e+00
1.201656521214369e-04	5.781130e+00	1.347693e+01	9.949966e+00
1.201715901990134e-04	5.821704e+00	1.347693e+01	1.158992e+01
1.201781998062725e-04	5.846104e+00	1.347692e+01	1.256125e+01
1.201829170909396e-04	5.850382e+00	1.347692e+01	1.286427e+01
1.201891831202964e-04	5.843494e+00	1.347692e+01	1.301471e+01
1.201949526418115e-04	5.829616e+00	1.347692e+01	1.306839e+01
1.202046932041387e-04	5.797360e+00	1.347692e+01	1.309316e+01
1.202158775416799e-04	5.756318e+00	1.347692e+01	1.309746e+01
1.202329237730906e-04	5.696410e+00	1.347692e+01	1.309127e+01
1.202523724870806e-04	5.640196e+00	1.347692e+01	1.308242e+01
1.202713709218366e-04	5.601514e+00	1.347692e+01	1.307542e+01
1.202905834884870e-04	5.578234e+00	1.347692e+01	1.307088e+01
1.203111903175895e-04	5.566082e+00	1.347692e+01	1.306830e+01
1.203318857536471e-04	5.561601e+00	1.347692e+01	1.306726e+01
1.203423480028547e-04	5.561272e+00	1.347692e+01	1.306717e+01
1.203513233880554e-04	5.561656e+00	1.347692e+01	1.306728e+01
1.203612769097827e-04	5.562216e+00	1.347692e+01	1.306746e+01
1.203715704108915e-04	5.562718e+00	1.347692e+01	1.306768e+01
1.203827305738814e-04	5.563035e+00	1.347692e+01	1.306790e+01
1.203932271332444e-04	5.563015e+00	1.347692e+01	1.306808e+01
1.204057524757749e-04	5.562551e+00	1.347692e+01	1.306824e+01
1.204190497894123e-04	5.561522e+00	1.347692e+01	1.306833e+01
1.204410502657436e-04	5.558885e+00	1.347692e+01	1.306831e+01
1.204717031267882e-04	5.554164e+00	1.347692e+01	1.306808e+01
1.205026731951418e-04	5.548769e+00	1.347692e+01	1.306772e+01
1.205364826088531e-04	5.542712e+00	1.347692e+01	1.306726e+01
1.205761551488650e-04	5.535764e+00	1.347692e+01	1.306674e+01
1.206213275503198e-04	5.528080e+00	1.347692e+01	1.306619e+01
1.206948065649530e-04	5.515743e+00	1.347692e+01	1.306532e+01
1.207929344721557e-04	5.499259e+00	1.347692e+01	1.306416e+01
