;Scopy version,f4beeb1
;Exported on,samedi mai 18/05/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
166,-0.01434,-13.5968,0.200445
167,-0.01433,-13.5968,0.183741
168,-0.01432,-13.5968,0.200445
169,-0.01431,-13.5968,0.200445
170,-0.0143,-13.5968,0.200445
171,-0.01429,-13.5968,0.200445
172,-0.01428,-13.5968,0.183741
173,-0.01427,-13.5968,0.233852
174,-0.01426,-13.5968,0.200445
175,-0.01425,-13.5968,0.200445
176,-0.01424,-13.5968,0.200445
177,-0.01423,-13.5968,0.200445
178,-0.01422,-13.5968,0.200445
179,-0.01421,-13.5968,0.200445
180,-0.0142,-13.5968,0.200445
181,-0.01419,-13.5968,0.183741
182,-0.01418,-13.5968,0.200445
183,-0.01417,-13.5968,0.200445
184,-0.01416,-13.5968,0.183741
185,-0.01415,-13.5968,0.200445
186,-0.01414,-13.5968,0.200445
187,-0.01413,-13.5968,0.200445
188,-0.01412,-13.5968,0.200445
189,-0.01411,-13.5968,0.200445
190,-0.0141,-13.5968,0.200445
191,-0.01409,-13.5968,0.200445
192,-0.01408,-13.5968,0.200445
193,-0.01407,-13.5968,0.200445
194,-0.01406,-13.5968,0.200445
195,-0.01405,-13.5968,0.200445
196,-0.01404,-13.5968,0.200445
197,-0.01403,-13.5968,0.200445
198,-0.01402,-13.5968,0.200445
199,-0.01401,-13.5968,0.200445
200,-0.014,-13.6135,0.200445
201,-0.01399,-13.6135,0.200445
202,-0.01398,-13.6135,0.200445
203,-0.01397,-13.6135,0.200445
204,-0.01396,-13.6135,0.200445
205,-0.01395,-13.6302,0.200445
206,-0.01394,-13.5968,0.200445
207,-0.01393,-13.6135,0.200445
208,-0.01392,-13.5968,0.200445
209,-0.01391,-13.6302,0.200445
210,-0.0139,-13.6135,0.233852
211,-0.01389,-13.6135,0.183741
212,-0.01388,-13.6135,0.200445
213,-0.01387,-13.6135,0.200445
214,-0.01386,-13.6135,0.200445
215,-0.01385,-13.6135,0.183741
216,-0.01384,-13.6135,0.233852
217,-0.01383,-13.6135,0.233852
218,-0.01382,-13.6135,0.183741
219,-0.01381,-13.5968,0.200445
220,-0.0138,-13.6135,0.200445
221,-0.01379,-13.6135,0.200445
222,-0.01378,-13.6135,0.200445
223,-0.01377,-13.6135,0.200445
224,-0.01376,-13.6135,0.200445
225,-0.01375,-13.6135,0.200445
226,-0.01374,-13.6135,0.200445
227,-0.01373,-13.6135,0.200445
228,-0.01372,-13.6135,0.200445
229,-0.01371,-13.5968,0.200445
230,-0.0137,-13.5968,0.200445
231,-0.01369,-13.6135,0.200445
232,-0.01368,-13.6135,0.200445
233,-0.01367,-13.6135,0.200445
234,-0.01366,-13.6135,0.200445
235,-0.01365,-13.6135,0.200445
236,-0.01364,-13.6135,0.200445
237,-0.01363,-13.6135,0.200445
238,-0.01362,-13.6135,0.183741
239,-0.01361,-13.6135,0.200445
240,-0.0136,-13.6135,0.200445
241,-0.01359,-13.6135,0.200445
242,-0.01358,-13.6135,0.200445
243,-0.01357,-13.6135,0.200445
244,-0.01356,-13.6135,0.200445
245,-0.01355,-13.6135,0.200445
246,-0.01354,-13.6135,0.200445
247,-0.01353,-13.6135,0.200445
248,-0.01352,-13.6135,0.200445
249,-0.01351,-13.6135,0.200445
250,-0.0135,-13.6135,0.200445
251,-0.01349,-13.6135,0.200445
252,-0.01348,-13.6135,0.200445
253,-0.01347,-13.6135,0.200445
254,-0.01346,-13.6135,0.200445
255,-0.01345,-13.6135,0.200445
256,-0.01344,-13.6135,0.200445
257,-0.01343,-13.6135,0.200445
258,-0.01342,-13.6135,0.200445
259,-0.01341,-13.6135,0.200445
260,-0.0134,-13.6135,0.200445
261,-0.01339,-13.6135,0.200445
262,-0.01338,-13.6135,0.200445
263,-0.01337,-13.6135,0.183741
264,-0.01336,-13.6135,0.200445
265,-0.01335,-13.6135,0.183741
266,-0.01334,-13.6135,0.233852
267,-0.01333,-13.6135,0.200445
268,-0.01332,-13.6135,0.200445
269,-0.01331,-13.6135,0.200445
270,-0.0133,-13.6302,0.200445
271,-0.01329,-13.6135,0.200445
272,-0.01328,-13.6135,0.200445
273,-0.01327,-13.6135,0.200445
274,-0.01326,-13.6135,0.200445
275,-0.01325,-13.6135,0.200445
276,-0.01324,-13.6135,0.200445
277,-0.01323,-13.6469,0.200445
278,-0.01322,-13.6135,0.200445
279,-0.01321,-13.6135,0.200445
280,-0.0132,-13.6135,0.200445
281,-0.01319,-13.6135,0.200445
282,-0.01318,-13.6135,0.200445
283,-0.01317,-13.6302,0.200445
284,-0.01316,-13.6302,0.183741
285,-0.01315,-13.6302,0.200445
286,-0.01314,-13.6302,0.200445
287,-0.01313,-13.6135,0.200445
288,-0.01312,-13.6302,0.200445
289,-0.01311,-13.6302,0.200445
290,-0.0131,-13.6302,0.200445
291,-0.01309,-13.6302,0.200445
292,-0.01308,-13.6302,0.200445
293,-0.01307,-13.6302,0.200445
294,-0.01306,-13.6302,0.200445
295,-0.01305,-13.6302,0.200445
296,-0.01304,-13.6135,0.200445
297,-0.01303,-13.6469,0.200445
298,-0.01302,-13.6135,0.200445
299,-0.01301,-13.6135,0.200445
300,-0.013,-13.6135,0.200445
301,-0.01299,-13.6135,0.200445
302,-0.01298,-13.6469,0.200445
303,-0.01297,-13.6302,0.200445
304,-0.01296,-13.6469,0.200445
305,-0.01295,-13.6135,0.200445
306,-0.01294,-13.6135,0.200445
307,-0.01293,-13.6135,0.183741
308,-0.01292,-13.6135,0.233852
309,-0.01291,-13.6135,0.233852
310,-0.0129,-13.6135,0.233852
311,-0.01289,-13.6302,0.233852
312,-0.01288,-13.5968,0.200445
313,-0.01287,-13.6469,0.200445
314,-0.01286,-13.6302,0.200445
315,-0.01285,-13.6302,0.200445
316,-0.01284,-13.6302,0.200445
317,-0.01283,-13.6302,0.200445
318,-0.01282,-13.6302,0.200445
319,-0.01281,-13.6302,0.200445
320,-0.0128,-13.6302,0.200445
321,-0.01279,-13.6302,0.200445
322,-0.01278,-13.6469,0.200445
323,-0.01277,-13.6135,0.200445
324,-0.01276,-13.6135,0.200445
325,-0.01275,-13.6135,0.200445
326,-0.01274,-13.5968,0.200445
327,-0.01273,-13.6302,0.200445
328,-0.01272,-13.5968,0.200445
329,-0.01271,-13.5968,0.233852
330,-0.0127,-13.6302,0.183741
331,-0.01269,-13.6135,0.200445
332,-0.01268,-13.6135,0.200445
333,-0.01267,-13.6135,0.200445
334,-0.01266,-13.6135,0.200445
335,-0.01265,-13.6135,0.200445
336,-0.01264,-13.6135,0.200445
337,-0.01263,-13.6135,0.200445
338,-0.01262,-13.6135,0.183741
339,-0.01261,-13.6135,0.200445
