time	V(n002)	V(n004)
1.054600161799730e-02	-1.221059e+01	2.934249e-01
1.054831956890606e-02	-1.220910e+01	2.934265e-01
1.055060495571795e-02	-1.220570e+01	2.934302e-01
1.055270337797366e-02	-1.219885e+01	2.934373e-01
1.055425648544801e-02	-1.218803e+01	2.934462e-01
1.055446154364630e-02	-1.218581e+01	2.934482e-01
1.055487166004288e-02	-1.218058e+01	2.934539e-01
1.055560914305954e-02	-1.216562e+01	2.934704e-01
1.055614681343358e-02	-1.214351e+01	2.934895e-01
1.055622517922294e-02	-1.213825e+01	2.934943e-01
1.055638191080167e-02	-1.212470e+01	2.935075e-01
1.055642109369635e-02	-1.212009e+01	2.935119e-01
1.055649945948572e-02	-1.210913e+01	2.935250e-01
1.055663594428558e-02	-1.207578e+01	2.935568e-01
1.055665474845402e-02	-1.206802e+01	2.935640e-01
1.055669235679089e-02	-1.204772e+01	2.935885e-01
1.055673812844218e-02	-1.200252e+01	2.936554e-01
1.055677827871499e-02	-1.189967e+01	2.938524e-01
1.055683101599102e-02	-1.157905e+01	2.944410e-01
1.055687948314833e-02	-1.111367e+01	2.952982e-01
1.055692108633629e-02	-1.061405e+01	2.962345e-01
1.055696467056378e-02	-1.006007e+01	2.973039e-01
1.055701004743675e-02	-9.501126e+00	2.984129e-01
1.055706434981313e-02	-8.850865e+00	2.997083e-01
1.055718513242715e-02	-7.407207e+00	3.025553e-01
1.055721860929677e-02	-7.007496e+00	3.033412e-01
1.055726157175583e-02	-6.494968e+00	3.043467e-01
1.055729387486221e-02	-6.109897e+00	3.051006e-01
1.055732617796858e-02	-5.724826e+00	3.058530e-01
1.055735848107495e-02	-5.339756e+00	3.066040e-01
1.055739078418132e-02	-4.954686e+00	3.073536e-01
1.055742308728770e-02	-4.569617e+00	3.081017e-01
1.055745539039407e-02	-4.184549e+00	3.088485e-01
1.055748769350044e-02	-3.799481e+00	3.095938e-01
1.055760460786614e-02	-2.405547e+00	3.122042e-01
1.055771579065761e-02	-1.079529e+00	3.134741e-01
1.055781214144643e-02	7.241455e-02	3.123861e-01
1.055790716453611e-02	1.208464e+00	3.100728e-01
1.055803288436587e-02	2.711473e+00	3.070119e-01
1.055813562739687e-02	3.939762e+00	3.046668e-01
1.055818838667968e-02	4.570487e+00	3.037535e-01
1.055823794665702e-02	5.162959e+00	3.032680e-01
1.055825156900861e-02	5.325808e+00	3.032205e-01
1.055826504420015e-02	5.486897e+00	3.032254e-01
1.055827710880881e-02	5.631124e+00	3.032399e-01
1.055829227275911e-02	5.812400e+00	3.032644e-01
1.055830899657376e-02	6.012323e+00	3.032924e-01
1.055832739395895e-02	6.232253e+00	3.033195e-01
1.055834658128794e-02	6.461624e+00	3.033411e-01
1.055836780289601e-02	6.715312e+00	3.033570e-01
1.055839221590618e-02	7.007150e+00	3.033676e-01
1.055841722825571e-02	7.306150e+00	3.033735e-01
1.055843635350789e-02	7.534774e+00	3.033761e-01
1.055845863345911e-02	7.801108e+00	3.033786e-01
1.055848282208716e-02	8.090258e+00	3.033817e-01
1.055851372239724e-02	8.459634e+00	3.033866e-01
1.055855331083970e-02	8.932863e+00	3.033940e-01
1.055862812011243e-02	9.827097e+00	3.034089e-01
1.055870264926165e-02	1.071796e+01	3.034238e-01
1.055878573142003e-02	1.171104e+01	3.034402e-01
1.055892392299785e-02	1.332038e+01	3.034675e-01
1.055910533526185e-02	1.342109e+01	3.035032e-01
1.056019380884586e-02	1.346354e+01	3.037175e-01
1.056422821356953e-02	1.347746e+01	3.045119e-01
1.057337257117795e-02	1.347780e+01	3.063120e-01
1.058178823480372e-02	1.347769e+01	3.079682e-01
1.059862844181983e-02	1.347748e+01	3.112813e-01
1.060203807166432e-02	1.347744e+01	3.119520e-01
1.060544770150881e-02	1.347740e+01	3.126227e-01
