;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
238,-0.02962,7.85075
239,-0.02961,7.85075
240,-0.0296,7.85075
241,-0.02959,7.85075
242,-0.02958,7.85075
243,-0.02957,7.85075
244,-0.02956,7.85075
245,-0.02955,7.85075
246,-0.02954,7.85075
247,-0.02953,7.85075
248,-0.02952,7.85075
249,-0.02951,7.85075
250,-0.0295,7.85075
251,-0.02949,7.85075
252,-0.02948,7.85075
253,-0.02947,7.85075
254,-0.02946,7.85075
255,-0.02945,7.85075
256,-0.02944,7.85075
257,-0.02943,7.85075
258,-0.02942,7.85075
259,-0.02941,7.85075
260,-0.0294,7.85075
261,-0.02939,7.85075
262,-0.02938,7.85075
263,-0.02937,7.85075
264,-0.02936,7.85075
265,-0.02935,7.85075
266,-0.02934,7.85075
267,-0.02933,7.85075
268,-0.02932,7.85075
269,-0.02931,7.85075
270,-0.0293,7.85075
271,-0.02929,7.85075
272,-0.02928,7.85075
273,-0.02927,7.85075
274,-0.02926,7.85075
275,-0.02925,7.85075
276,-0.02924,7.85075
277,-0.02923,7.85075
278,-0.02922,7.85075
279,-0.02921,7.85075
280,-0.0292,7.85075
281,-0.02919,7.85075
282,-0.02918,7.85075
283,-0.02917,7.85075
284,-0.02916,7.85075
285,-0.02915,7.85075
286,-0.02914,7.85075
287,-0.02913,7.85075
288,-0.02912,7.85075
289,-0.02911,7.85075
290,-0.0291,7.85075
291,-0.02909,7.85075
292,-0.02908,7.85075
293,-0.02907,7.85075
294,-0.02906,7.85075
295,-0.02905,7.85075
296,-0.02904,7.85075
297,-0.02903,7.85075
298,-0.02902,7.85075
299,-0.02901,7.85075
300,-0.029,7.85075
301,-0.02899,7.85075
302,-0.02898,7.85075
303,-0.02897,7.85075
304,-0.02896,7.85075
305,-0.02895,7.85075
306,-0.02894,7.85075
307,-0.02893,7.85075
308,-0.02892,7.85075
309,-0.02891,7.85075
310,-0.0289,7.85075
311,-0.02889,7.85075
312,-0.02888,7.85075
313,-0.02887,7.85075
314,-0.02886,7.85075
315,-0.02885,7.85075
316,-0.02884,7.85075
317,-0.02883,7.85075
318,-0.02882,7.85075
319,-0.02881,7.85075
320,-0.0288,7.85075
321,-0.02879,7.85075
322,-0.02878,7.85075
323,-0.02877,7.85075
324,-0.02876,7.85075
325,-0.02875,7.85075
326,-0.02874,7.85075
327,-0.02873,7.85075
328,-0.02872,7.85075
329,-0.02871,7.85075
330,-0.0287,7.85075
331,-0.02869,7.85075
332,-0.02868,7.85075
333,-0.02867,7.85075
334,-0.02866,7.85075
335,-0.02865,7.85075
336,-0.02864,7.85075
337,-0.02863,7.85075
338,-0.02862,7.85075
339,-0.02861,7.85075
340,-0.0286,7.85075
341,-0.02859,7.85075
342,-0.02858,7.85075
343,-0.02857,7.85075
344,-0.02856,7.85075
345,-0.02855,7.85075
346,-0.02854,7.85075
347,-0.02853,7.85075
348,-0.02852,7.85075
349,-0.02851,7.85075
350,-0.0285,7.85075
351,-0.02849,7.83405
352,-0.02848,7.83405
353,-0.02847,7.85075
354,-0.02846,7.85075
355,-0.02845,7.85075
356,-0.02844,7.85075
357,-0.02843,7.85075
358,-0.02842,7.85075
359,-0.02841,7.83405
360,-0.0284,7.83405
361,-0.02839,7.83405
362,-0.02838,7.83405
363,-0.02837,7.83405
364,-0.02836,7.85075
365,-0.02835,7.81734
366,-0.02834,7.83405
367,-0.02833,7.83405
368,-0.02832,7.83405
369,-0.02831,7.83405
370,-0.0283,7.83405
371,-0.02829,7.83405
372,-0.02828,7.83405
373,-0.02827,7.83405
374,-0.02826,7.83405
375,-0.02825,7.81734
376,-0.02824,7.85075
377,-0.02823,7.81734
378,-0.02822,7.83405
379,-0.02821,7.83405
380,-0.0282,7.83405
381,-0.02819,7.83405
382,-0.02818,7.83405
383,-0.02817,7.83405
384,-0.02816,7.83405
385,-0.02815,7.83405
386,-0.02814,7.83405
387,-0.02813,7.83405
388,-0.02812,7.83405
389,-0.02811,7.83405
390,-0.0281,7.83405
391,-0.02809,7.83405
392,-0.02808,7.83405
393,-0.02807,7.83405
394,-0.02806,7.83405
395,-0.02805,7.83405
396,-0.02804,7.83405
397,-0.02803,7.83405
398,-0.02802,7.83405
399,-0.02801,7.83405
400,-0.028,7.83405
401,-0.02799,7.83405
402,-0.02798,7.83405
403,-0.02797,7.83405
404,-0.02796,7.83405
405,-0.02795,7.83405
406,-0.02794,7.83405
407,-0.02793,7.83405
408,-0.02792,7.83405
409,-0.02791,7.83405
410,-0.0279,7.83405
411,-0.02789,7.83405
412,-0.02788,7.83405
413,-0.02787,7.83405
414,-0.02786,7.83405
415,-0.02785,7.83405
416,-0.02784,7.83405
417,-0.02783,7.83405
418,-0.02782,7.83405
419,-0.02781,7.83405
420,-0.0278,7.83405
421,-0.02779,7.83405
422,-0.02778,7.83405
423,-0.02777,7.83405
424,-0.02776,7.83405
425,-0.02775,7.83405
426,-0.02774,7.83405
427,-0.02773,7.83405
428,-0.02772,7.83405
429,-0.02771,7.83405
430,-0.0277,7.83405
431,-0.02769,7.83405
432,-0.02768,7.83405
433,-0.02767,7.83405
434,-0.02766,7.83405
435,-0.02765,7.83405
436,-0.02764,7.83405
437,-0.02763,7.83405
438,-0.02762,7.83405
439,-0.02761,7.83405
440,-0.0276,7.83405
441,-0.02759,7.83405
442,-0.02758,7.83405
443,-0.02757,7.83405
444,-0.02756,7.83405
445,-0.02755,7.83405
446,-0.02754,7.83405
447,-0.02753,7.83405
448,-0.02752,7.83405
449,-0.02751,7.83405
450,-0.0275,7.83405
451,-0.02749,7.83405
452,-0.02748,7.83405
453,-0.02747,7.83405
454,-0.02746,7.83405
455,-0.02745,7.83405
456,-0.02744,7.83405
457,-0.02743,7.83405
458,-0.02742,7.83405
459,-0.02741,7.83405
460,-0.0274,7.83405
461,-0.02739,7.83405
462,-0.02738,7.83405
463,-0.02737,7.83405
464,-0.02736,7.83405
465,-0.02735,7.83405
466,-0.02734,7.83405
467,-0.02733,7.83405
468,-0.02732,7.83405
469,-0.02731,7.83405
470,-0.0273,7.83405
471,-0.02729,7.83405
472,-0.02728,7.83405
473,-0.02727,7.83405
474,-0.02726,7.83405
475,-0.02725,7.83405
476,-0.02724,7.83405
477,-0.02723,7.83405
478,-0.02722,7.83405
479,-0.02721,7.83405
480,-0.0272,7.83405
481,-0.02719,7.83405
482,-0.02718,7.83405
483,-0.02717,7.83405
484,-0.02716,7.83405
485,-0.02715,7.83405
486,-0.02714,7.83405
487,-0.02713,7.83405
488,-0.02712,7.83405
489,-0.02711,7.83405
490,-0.0271,7.83405
491,-0.02709,7.83405
492,-0.02708,7.83405
493,-0.02707,7.83405
494,-0.02706,7.83405
495,-0.02705,7.83405
496,-0.02704,7.83405
497,-0.02703,7.83405
498,-0.02702,7.83405
499,-0.02701,7.83405
500,-0.027,7.83405
501,-0.02699,7.83405
502,-0.02698,7.83405
503,-0.02697,7.83405
504,-0.02696,7.83405
505,-0.02695,7.83405
506,-0.02694,7.83405
507,-0.02693,7.83405
508,-0.02692,7.83405
509,-0.02691,7.83405
510,-0.0269,7.83405
511,-0.02689,7.83405
512,-0.02688,7.83405
513,-0.02687,7.83405
514,-0.02686,7.83405
515,-0.02685,7.83405
516,-0.02684,7.83405
517,-0.02683,7.83405
518,-0.02682,7.83405
519,-0.02681,7.83405
520,-0.0268,7.83405
521,-0.02679,7.83405
522,-0.02678,7.83405
523,-0.02677,7.83405
524,-0.02676,7.83405
525,-0.02675,7.83405
526,-0.02674,7.83405
527,-0.02673,7.83405
