;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
239,-0.02961,0.334074
240,-0.0296,0.300667
241,-0.02959,0.250556
242,-0.02958,0.217148
243,-0.02957,0.400889
244,-0.02956,0.334074
245,-0.02955,0.300667
246,-0.02954,0.26726
247,-0.02953,0.217148
248,-0.02952,0.367482
249,-0.02951,0.300667
250,-0.0295,0.26726
251,-0.02949,0.250556
252,-0.02948,0.367482
253,-0.02947,0.283963
254,-0.02946,0.217148
255,-0.02945,0.350778
256,-0.02944,0.300667
257,-0.02943,0.26726
258,-0.02942,0.26726
259,-0.02941,0.350778
260,-0.0294,0.283963
261,-0.02939,0.250556
262,-0.02938,0.217148
263,-0.02937,0.167037
264,-0.02936,0.350778
265,-0.02935,0.283963
266,-0.02934,0.250556
267,-0.02933,0.250556
268,-0.02932,0.334074
269,-0.02931,0.250556
270,-0.0293,0.250556
271,-0.02929,0.334074
272,-0.02928,0.300667
273,-0.02927,0.250556
274,-0.02926,0.200445
275,-0.02925,0.300667
276,-0.02924,0.300667
277,-0.02923,0.26726
278,-0.02922,0.217148
279,-0.02921,0.317371
280,-0.0292,0.317371
281,-0.02919,0.26726
282,-0.02918,0.300667
283,-0.02917,0.367482
284,-0.02916,0.317371
285,-0.02915,0.283963
286,-0.02914,0.250556
287,-0.02913,0.317371
288,-0.02912,0.367482
289,-0.02911,0.317371
290,-0.0291,0.283963
291,-0.02909,0.250556
292,-0.02908,0.283963
293,-0.02907,0.317371
294,-0.02906,0.217148
295,-0.02905,0.350778
296,-0.02904,0.317371
297,-0.02903,0.250556
298,-0.02902,0.250556
299,-0.02901,0.217148
300,-0.029,0.400889
301,-0.02899,0.350778
302,-0.02898,0.651445
303,-0.02897,0.551223
304,-0.02896,0.467704
305,-0.02895,0.400889
306,-0.02894,0.551223
307,-0.02893,0.71826
308,-0.02892,0.634741
309,-0.02891,0.768371
310,-0.0289,1.18596
311,-0.02889,1.00222
312,-0.02888,0.918705
313,-0.02887,1.20267
314,-0.02886,2.37193
315,-0.02885,2.03785
316,-0.02884,1.73719
317,-0.02883,2.83963
318,-0.02882,2.92315
319,-0.02881,2.60578
320,-0.0288,2.88974
321,-0.02879,3.1403
322,-0.02878,2.98997
323,-0.02877,3.29063
324,-0.02876,2.6893
325,-0.02875,5.34519
326,-0.02874,7.04897
327,-0.02873,6.23049
328,-0.02872,5.57904
329,-0.02871,4.97771
330,-0.0287,4.44319
331,-0.02869,3.97549
332,-0.02868,3.55789
333,-0.02867,3.157
334,-0.02866,2.83963
335,-0.02865,2.55567
336,-0.02864,2.28841
337,-0.02863,2.02115
338,-0.02862,2.75611
339,-0.02861,2.40534
340,-0.0286,2.12137
341,-0.02859,2.63919
342,-0.02858,2.42204
343,-0.02857,2.08797
344,-0.02856,3.22382
345,-0.02855,2.97326
346,-0.02854,2.58908
347,-0.02853,3.5746
348,-0.02852,3.49108
349,-0.02851,3.10689
350,-0.0285,3.05678
351,-0.02849,3.30734
352,-0.02848,2.90645
353,-0.02847,2.6726
354,-0.02846,2.95656
355,-0.02845,2.57237
356,-0.02844,2.55567
357,-0.02843,3.17371
358,-0.02842,2.80623
359,-0.02841,2.60578
360,-0.0284,3.82515
361,-0.02839,3.29063
362,-0.02838,2.90645
363,-0.02837,3.608
364,-0.02836,3.20711
365,-0.02835,2.82293
366,-0.02834,3.02337
367,-0.02833,2.80623
368,-0.02832,2.43874
369,-0.02831,3.09019
370,-0.0283,3.00667
371,-0.02829,2.6726
372,-0.02828,2.82293
373,-0.02827,3.09019
374,-0.02826,2.73941
375,-0.02825,2.47215
376,-0.02824,2.65589
377,-0.02823,2.32182
378,-0.02822,2.30511
379,-0.02821,2.60578
380,-0.0282,2.255
381,-0.02819,3.55789
382,-0.02818,5.72938
383,-0.02817,4.97771
384,-0.02816,4.39308
385,-0.02815,4.86078
386,-0.02814,4.32626
387,-0.02813,4.059
388,-0.02812,4.20934
389,-0.02811,3.70823
390,-0.0281,3.34074
391,-0.02809,2.83963
392,-0.02808,4.39308
393,-0.02807,5.42871
394,-0.02806,4.79397
395,-0.02805,4.51
396,-0.02804,4.79397
397,-0.02803,4.24275
398,-0.02802,3.79174
399,-0.02801,3.39086
400,-0.028,3.04008
401,-0.02799,2.72271
402,-0.02798,2.42204
403,-0.02797,2.15478
404,-0.02796,1.93763
405,-0.02795,1.73719
406,-0.02794,1.55345
407,-0.02793,1.45322
408,-0.02792,1.40311
409,-0.02791,1.28619
410,-0.0279,1.15256
411,-0.02789,1.62026
412,-0.02788,1.38641
413,-0.02787,1.25278
414,-0.02786,1.3363
415,-0.02785,1.3363
416,-0.02784,1.18596
417,-0.02783,1.05233
418,-0.02782,0.918705
419,-0.02781,0.85189
420,-0.0278,0.71826
421,-0.02779,0.651445
422,-0.02778,0.58463
423,-0.02777,0.517815
424,-0.02776,0.551223
425,-0.02775,0.601334
426,-0.02774,0.534519
427,-0.02773,0.517815
428,-0.02772,0.952112
429,-0.02771,0.818482
430,-0.0277,0.71826
431,-0.02769,0.634741
432,-0.02768,0.835186
433,-0.02767,0.684853
434,-0.02766,0.634741
435,-0.02765,1.01893
436,-0.02764,0.868594
437,-0.02763,0.785075
438,-0.02762,0.684853
439,-0.02761,0.618038
440,-0.0276,0.517815
441,-0.02759,0.701556
442,-0.02758,0.684853
