;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
238,-0.02962,2.15478
239,-0.02961,2.15478
240,-0.0296,2.15478
241,-0.02959,2.15478
242,-0.02958,2.15478
243,-0.02957,2.15478
244,-0.02956,2.15478
245,-0.02955,2.15478
246,-0.02954,2.15478
247,-0.02953,2.15478
248,-0.02952,2.15478
249,-0.02951,2.15478
250,-0.0295,2.15478
251,-0.02949,2.17148
252,-0.02948,2.17148
253,-0.02947,2.17148
254,-0.02946,2.17148
255,-0.02945,2.17148
256,-0.02944,2.17148
257,-0.02943,2.17148
258,-0.02942,2.17148
259,-0.02941,2.17148
260,-0.0294,2.17148
261,-0.02939,2.17148
262,-0.02938,2.17148
263,-0.02937,2.17148
264,-0.02936,2.17148
265,-0.02935,2.18819
266,-0.02934,2.18819
267,-0.02933,2.18819
268,-0.02932,2.18819
269,-0.02931,2.18819
270,-0.0293,2.18819
271,-0.02929,2.18819
272,-0.02928,2.18819
273,-0.02927,2.18819
274,-0.02926,2.18819
275,-0.02925,2.18819
276,-0.02924,2.18819
277,-0.02923,2.18819
278,-0.02922,2.18819
279,-0.02921,2.18819
280,-0.0292,2.18819
281,-0.02919,2.18819
282,-0.02918,2.2216
283,-0.02917,2.2216
284,-0.02916,2.18819
285,-0.02915,2.18819
286,-0.02914,2.18819
287,-0.02913,2.18819
288,-0.02912,2.2216
289,-0.02911,2.2216
290,-0.0291,2.2216
291,-0.02909,2.18819
292,-0.02908,2.18819
293,-0.02907,2.18819
294,-0.02906,2.18819
295,-0.02905,2.2216
296,-0.02904,2.2216
297,-0.02903,2.18819
298,-0.02902,2.18819
299,-0.02901,2.18819
300,-0.029,2.18819
301,-0.02899,2.18819
302,-0.02898,2.18819
303,-0.02897,2.18819
304,-0.02896,2.18819
305,-0.02895,2.18819
306,-0.02894,2.18819
307,-0.02893,2.18819
308,-0.02892,2.18819
309,-0.02891,2.18819
310,-0.0289,2.18819
311,-0.02889,2.18819
312,-0.02888,2.18819
313,-0.02887,2.18819
314,-0.02886,2.18819
315,-0.02885,2.18819
316,-0.02884,2.18819
317,-0.02883,2.18819
318,-0.02882,2.18819
319,-0.02881,2.18819
320,-0.0288,2.18819
321,-0.02879,2.18819
322,-0.02878,2.18819
323,-0.02877,2.18819
324,-0.02876,2.18819
325,-0.02875,2.18819
326,-0.02874,2.18819
327,-0.02873,2.18819
328,-0.02872,2.18819
329,-0.02871,2.18819
330,-0.0287,2.18819
331,-0.02869,2.18819
332,-0.02868,2.18819
333,-0.02867,2.18819
334,-0.02866,2.18819
335,-0.02865,2.18819
336,-0.02864,2.18819
337,-0.02863,2.18819
338,-0.02862,2.18819
339,-0.02861,2.18819
340,-0.0286,2.18819
341,-0.02859,2.18819
342,-0.02858,2.18819
343,-0.02857,2.18819
344,-0.02856,2.18819
345,-0.02855,2.18819
346,-0.02854,2.18819
347,-0.02853,2.18819
348,-0.02852,2.18819
349,-0.02851,2.18819
350,-0.0285,2.18819
351,-0.02849,2.18819
352,-0.02848,2.18819
353,-0.02847,2.18819
354,-0.02846,2.18819
355,-0.02845,2.18819
356,-0.02844,2.18819
357,-0.02843,2.18819
358,-0.02842,2.18819
359,-0.02841,2.18819
360,-0.0284,2.18819
361,-0.02839,2.18819
362,-0.02838,2.18819
363,-0.02837,2.18819
364,-0.02836,2.18819
365,-0.02835,2.18819
366,-0.02834,2.18819
367,-0.02833,2.18819
368,-0.02832,2.18819
369,-0.02831,2.18819
370,-0.0283,2.18819
371,-0.02829,2.18819
372,-0.02828,2.18819
373,-0.02827,2.18819
374,-0.02826,2.18819
375,-0.02825,2.18819
376,-0.02824,2.18819
377,-0.02823,2.18819
378,-0.02822,2.18819
379,-0.02821,2.18819
380,-0.0282,2.18819
381,-0.02819,2.18819
382,-0.02818,2.18819
383,-0.02817,2.18819
384,-0.02816,2.18819
385,-0.02815,2.18819
386,-0.02814,2.18819
387,-0.02813,2.18819
388,-0.02812,2.18819
389,-0.02811,2.18819
390,-0.0281,2.18819
391,-0.02809,2.18819
392,-0.02808,2.18819
393,-0.02807,2.18819
394,-0.02806,2.18819
395,-0.02805,2.18819
396,-0.02804,2.18819
397,-0.02803,2.18819
398,-0.02802,2.18819
399,-0.02801,2.18819
400,-0.028,2.18819
401,-0.02799,2.18819
402,-0.02798,2.18819
403,-0.02797,2.18819
404,-0.02796,2.18819
405,-0.02795,2.18819
406,-0.02794,2.18819
407,-0.02793,2.18819
408,-0.02792,2.18819
409,-0.02791,2.18819
410,-0.0279,2.18819
411,-0.02789,2.18819
412,-0.02788,2.18819
413,-0.02787,2.18819
414,-0.02786,2.18819
415,-0.02785,2.18819
416,-0.02784,2.18819
417,-0.02783,2.18819
418,-0.02782,2.18819
419,-0.02781,2.18819
420,-0.0278,2.18819
421,-0.02779,2.18819
422,-0.02778,2.18819
423,-0.02777,2.18819
424,-0.02776,2.18819
425,-0.02775,2.18819
426,-0.02774,2.18819
427,-0.02773,2.18819
428,-0.02772,2.18819
429,-0.02771,2.18819
430,-0.0277,2.18819
431,-0.02769,2.18819
432,-0.02768,2.18819
433,-0.02767,2.18819
434,-0.02766,2.18819
435,-0.02765,2.18819
436,-0.02764,2.18819
437,-0.02763,2.18819
438,-0.02762,2.18819
439,-0.02761,2.18819
440,-0.0276,2.18819
441,-0.02759,2.18819
442,-0.02758,2.18819
443,-0.02757,2.18819
444,-0.02756,2.18819
445,-0.02755,2.18819
446,-0.02754,2.18819
447,-0.02753,2.18819
448,-0.02752,2.18819
449,-0.02751,2.18819
450,-0.0275,2.18819
451,-0.02749,2.18819
452,-0.02748,2.18819
453,-0.02747,2.18819
454,-0.02746,2.18819
455,-0.02745,2.18819
456,-0.02744,2.18819
457,-0.02743,2.18819
458,-0.02742,2.18819
459,-0.02741,2.18819
460,-0.0274,2.18819
461,-0.02739,2.18819
462,-0.02738,2.18819
463,-0.02737,2.18819
464,-0.02736,2.18819
465,-0.02735,2.18819
466,-0.02734,2.18819
467,-0.02733,2.18819
468,-0.02732,2.18819
469,-0.02731,2.18819
470,-0.0273,2.18819
471,-0.02729,2.18819
472,-0.02728,2.18819
473,-0.02727,2.18819
474,-0.02726,2.18819
475,-0.02725,2.18819
476,-0.02724,2.18819
477,-0.02723,2.18819
478,-0.02722,2.18819
479,-0.02721,2.18819
480,-0.0272,2.18819
481,-0.02719,2.18819
482,-0.02718,2.18819
483,-0.02717,2.18819
484,-0.02716,2.18819
485,-0.02715,2.18819
486,-0.02714,2.18819
487,-0.02713,2.18819
488,-0.02712,2.18819
489,-0.02711,2.18819
490,-0.0271,2.18819
491,-0.02709,2.18819
492,-0.02708,2.18819
493,-0.02707,2.18819
494,-0.02706,2.18819
495,-0.02705,2.18819
496,-0.02704,2.18819
497,-0.02703,2.18819
498,-0.02702,2.18819
499,-0.02701,2.18819
500,-0.027,2.18819
501,-0.02699,2.18819
502,-0.02698,2.18819
503,-0.02697,2.18819
504,-0.02696,2.18819
505,-0.02695,2.18819
506,-0.02694,2.18819
507,-0.02693,2.18819
508,-0.02692,2.18819
509,-0.02691,2.18819
510,-0.0269,2.18819
511,-0.02689,2.18819
512,-0.02688,2.18819
513,-0.02687,2.18819
514,-0.02686,2.18819
515,-0.02685,2.18819
516,-0.02684,2.18819
517,-0.02683,2.18819
518,-0.02682,2.18819
519,-0.02681,2.18819
520,-0.0268,2.18819
521,-0.02679,2.18819
522,-0.02678,2.18819
523,-0.02677,2.18819
524,-0.02676,2.18819
525,-0.02675,2.18819
526,-0.02674,2.18819
527,-0.02673,2.18819
528,-0.02672,2.18819
529,-0.02671,2.18819
530,-0.0267,2.18819
531,-0.02669,2.18819
532,-0.02668,2.18819
533,-0.02667,2.18819
534,-0.02666,2.18819
535,-0.02665,2.18819
536,-0.02664,2.18819
537,-0.02663,2.18819
538,-0.02662,2.18819
539,-0.02661,2.18819
540,-0.0266,2.18819
541,-0.02659,2.18819
542,-0.02658,2.18819
543,-0.02657,2.18819
544,-0.02656,2.18819
545,-0.02655,2.18819
546,-0.02654,2.18819
547,-0.02653,2.18819
548,-0.02652,2.18819
549,-0.02651,2.18819
550,-0.0265,2.18819
551,-0.02649,2.18819
552,-0.02648,2.18819
553,-0.02647,2.18819
554,-0.02646,2.18819
555,-0.02645,2.18819
556,-0.02644,2.18819
557,-0.02643,2.18819
558,-0.02642,2.18819
559,-0.02641,2.18819
560,-0.0264,2.18819
561,-0.02639,2.18819
562,-0.02638,2.18819
563,-0.02637,2.18819
564,-0.02636,2.18819
565,-0.02635,2.18819
566,-0.02634,2.18819
567,-0.02633,2.18819
568,-0.02632,2.18819
569,-0.02631,2.18819
570,-0.0263,2.18819
571,-0.02629,2.18819
572,-0.02628,2.18819
573,-0.02627,2.18819
574,-0.02626,2.18819
575,-0.02625,2.18819
576,-0.02624,2.18819
577,-0.02623,2.18819
578,-0.02622,2.18819
579,-0.02621,2.18819
580,-0.0262,2.18819
581,-0.02619,2.18819
582,-0.02618,2.18819
583,-0.02617,2.18819
584,-0.02616,2.18819
585,-0.02615,2.18819
586,-0.02614,2.18819
587,-0.02613,2.18819
588,-0.02612,2.18819
589,-0.02611,2.18819
590,-0.0261,2.18819
591,-0.02609,2.18819
592,-0.02608,2.18819
593,-0.02607,2.18819
594,-0.02606,2.18819
595,-0.02605,2.18819
596,-0.02604,2.18819
597,-0.02603,2.18819
598,-0.02602,2.18819
599,-0.02601,2.18819
600,-0.026,2.18819
601,-0.02599,2.18819
602,-0.02598,2.18819
603,-0.02597,2.18819
604,-0.02596,2.18819
605,-0.02595,2.18819
606,-0.02594,2.18819
607,-0.02593,2.18819
608,-0.02592,2.18819
609,-0.02591,2.18819
610,-0.0259,2.18819
611,-0.02589,2.18819
612,-0.02588,2.18819
613,-0.02587,2.18819
614,-0.02586,2.18819
615,-0.02585,2.18819
616,-0.02584,2.18819
617,-0.02583,2.18819
618,-0.02582,2.18819
619,-0.02581,2.18819
620,-0.0258,2.18819
621,-0.02579,2.18819
622,-0.02578,2.18819
623,-0.02577,2.18819
624,-0.02576,2.18819
625,-0.02575,2.18819
626,-0.02574,2.18819
627,-0.02573,2.18819
628,-0.02572,2.18819
629,-0.02571,2.18819
630,-0.0257,2.18819
631,-0.02569,2.18819
632,-0.02568,2.18819
633,-0.02567,2.18819
634,-0.02566,2.18819
635,-0.02565,2.18819
636,-0.02564,2.18819
637,-0.02563,2.18819
638,-0.02562,2.18819
639,-0.02561,2.18819
640,-0.0256,2.18819
641,-0.02559,2.18819
642,-0.02558,2.18819
643,-0.02557,2.18819
644,-0.02556,2.18819
645,-0.02555,2.18819
646,-0.02554,2.18819
647,-0.02553,2.18819
648,-0.02552,2.18819
649,-0.02551,2.18819
650,-0.0255,2.18819
651,-0.02549,2.18819
652,-0.02548,2.18819
653,-0.02547,2.18819
654,-0.02546,2.18819
655,-0.02545,2.18819
656,-0.02544,2.18819
657,-0.02543,2.18819
658,-0.02542,2.18819
659,-0.02541,2.18819
660,-0.0254,2.18819
661,-0.02539,2.18819
662,-0.02538,2.18819
663,-0.02537,2.18819
664,-0.02536,2.18819
665,-0.02535,2.18819
666,-0.02534,2.18819
667,-0.02533,2.18819
668,-0.02532,2.18819
669,-0.02531,2.18819
670,-0.0253,2.18819
671,-0.02529,2.18819
672,-0.02528,2.18819
673,-0.02527,2.18819
674,-0.02526,2.18819
675,-0.02525,2.18819
676,-0.02524,2.18819
677,-0.02523,2.18819
678,-0.02522,2.18819
679,-0.02521,2.18819
680,-0.0252,2.18819
681,-0.02519,2.18819
682,-0.02518,2.18819
683,-0.02517,2.18819
684,-0.02516,2.18819
685,-0.02515,2.18819
686,-0.02514,2.18819
687,-0.02513,2.18819
688,-0.02512,2.18819
689,-0.02511,2.18819
690,-0.0251,2.18819
691,-0.02509,2.18819
692,-0.02508,2.18819
693,-0.02507,2.18819
694,-0.02506,2.18819
695,-0.02505,2.18819
696,-0.02504,2.18819
697,-0.02503,2.18819
698,-0.02502,2.18819
699,-0.02501,2.18819
700,-0.025,2.18819
701,-0.02499,2.18819
702,-0.02498,2.18819
703,-0.02497,2.18819
704,-0.02496,2.18819
705,-0.02495,2.18819
706,-0.02494,2.18819
707,-0.02493,2.18819
708,-0.02492,2.18819
709,-0.02491,2.18819
710,-0.0249,2.18819
711,-0.02489,2.18819
712,-0.02488,2.18819
713,-0.02487,2.18819
714,-0.02486,2.18819
715,-0.02485,2.18819
716,-0.02484,2.18819
717,-0.02483,2.18819
718,-0.02482,2.18819
719,-0.02481,2.18819
720,-0.0248,2.18819
721,-0.02479,2.18819
722,-0.02478,2.18819
723,-0.02477,2.18819
724,-0.02476,2.18819
725,-0.02475,2.18819
726,-0.02474,2.18819
727,-0.02473,2.18819
728,-0.02472,2.18819
729,-0.02471,2.18819
730,-0.0247,2.18819
731,-0.02469,2.18819
732,-0.02468,2.18819
733,-0.02467,2.18819
734,-0.02466,2.18819
735,-0.02465,2.18819
736,-0.02464,2.18819
737,-0.02463,2.18819
738,-0.02462,2.18819
739,-0.02461,2.18819
740,-0.0246,2.18819
741,-0.02459,2.18819
742,-0.02458,2.18819
743,-0.02457,2.18819
744,-0.02456,2.18819
745,-0.02455,2.18819
746,-0.02454,2.18819
747,-0.02453,2.18819
748,-0.02452,2.18819
749,-0.02451,2.18819
750,-0.0245,2.18819
751,-0.02449,2.18819
752,-0.02448,2.18819
753,-0.02447,2.18819
754,-0.02446,2.18819
755,-0.02445,2.18819
756,-0.02444,2.18819
757,-0.02443,2.18819
758,-0.02442,2.18819
759,-0.02441,2.18819
760,-0.0244,2.18819
761,-0.02439,2.18819
762,-0.02438,2.18819
763,-0.02437,2.18819
764,-0.02436,2.18819
765,-0.02435,2.18819
766,-0.02434,2.18819
767,-0.02433,2.18819
768,-0.02432,2.18819
769,-0.02431,2.18819
770,-0.0243,2.18819
