;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
134,-0.03066,-0.0668149,0.0167037
135,-0.03065,-0.0668149,0.0167037
136,-0.03064,-0.0668149,0.0334074
137,-0.03063,-0.0668149,0.0334074
138,-0.03062,-0.0668149,0.0334074
139,-0.03061,-0.0668149,0.0334074
140,-0.0306,-0.0668149,0.0334074
141,-0.03059,-0.0668149,0.0167037
142,-0.03058,-0.0668149,0.0167037
143,-0.03057,-0.0668149,0
144,-0.03056,-0.0668149,0.0334074
145,-0.03055,-0.0501112,0.0334074
146,-0.03054,-0.0501112,0.0334074
147,-0.03053,-0.0334074,0.0334074
148,-0.03052,-0.0334074,0.0334074
149,-0.03051,0.0167037,0.0501112
150,-0.0305,0,0.0501112
151,-0.03049,0.0334074,0.0501112
152,-0.03048,0.0334074,0.0501112
153,-0.03047,0.0334074,0.0167037
154,-0.03046,0.0334074,0.0334074
155,-0.03045,0.0334074,0.0334074
156,-0.03044,0.0501112,0
157,-0.03043,0.0501112,0.0167037
158,-0.03042,0.0501112,0.0167037
159,-0.03041,0.0668149,0.0167037
160,-0.0304,0.0668149,0
161,-0.03039,0.0835186,0.0334074
162,-0.03038,0.116926,0.0334074
163,-0.03037,0.100222,0.0334074
164,-0.03036,0.13363,0.0334074
165,-0.03035,0.116926,0.0334074
166,-0.03034,0.150333,0.0334074
167,-0.03033,0.150333,0.0334074
168,-0.03032,0.167037,0.0334074
169,-0.03031,0.167037,0.0334074
170,-0.0303,0.167037,0.0334074
171,-0.03029,0.200445,0.0334074
172,-0.03028,0.183741,0.0334074
173,-0.03027,0.217148,0.0334074
174,-0.03026,0.200445,0.0334074
175,-0.03025,0.250556,0.0334074
176,-0.03024,0.250556,0.0334074
177,-0.03023,0.250556,0.0334074
178,-0.03022,0.26726,0.0334074
179,-0.03021,0.26726,0.0334074
180,-0.0302,0.283963,0.0334074
181,-0.03019,0.283963,0.0334074
182,-0.03018,0.300667,0.0334074
183,-0.03017,0.300667,0.0334074
184,-0.03016,0.317371,0.0334074
185,-0.03015,0.317371,0.0334074
186,-0.03014,0.317371,0.0334074
187,-0.03013,0.350778,0.0334074
188,-0.03012,0.334074,0.0334074
189,-0.03011,0.367482,0.0334074
190,-0.0301,0.367482,0.0334074
191,-0.03009,0.384186,0.0334074
192,-0.03008,0.384186,0.0334074
193,-0.03007,0.400889,0.0334074
194,-0.03006,0.400889,0.0334074
195,-0.03005,0.400889,0.0334074
196,-0.03004,0.434297,0.0334074
197,-0.03003,0.417593,0.0334074
198,-0.03002,0.451,0.0334074
199,-0.03001,0.451,0.0334074
200,-0.03,0.467704,0.0334074
201,-0.02999,0.451,0.0334074
202,-0.02998,0.501112,0.0334074
203,-0.02997,0.501112,0.0334074
204,-0.02996,0.501112,0.0334074
205,-0.02995,0.501112,0.0334074
206,-0.02994,0.534519,0.0334074
207,-0.02993,0.534519,0.0334074
208,-0.02992,0.534519,0.0334074
209,-0.02991,0.551223,0.0334074
210,-0.0299,0.551223,0.0334074
211,-0.02989,0.567927,0.0334074
212,-0.02988,0.567927,0.0334074
213,-0.02987,0.567927,0.0334074
214,-0.02986,0.601334,0.0334074
215,-0.02985,0.601334,0.0334074
216,-0.02984,0.601334,0.0334074
217,-0.02983,0.601334,0.0334074
218,-0.02982,0.634741,0.0334074
219,-0.02981,0.618038,0.0334074
220,-0.0298,0.651445,0.0334074
221,-0.02979,0.634741,0.0334074
222,-0.02978,0.668149,0.0334074
223,-0.02977,0.651445,0.0334074
224,-0.02976,0.684853,0.0334074
225,-0.02975,0.701556,0.0334074
226,-0.02974,0.684853,0.0334074
227,-0.02973,0.71826,0.0334074
228,-0.02972,0.701556,0.0334074
229,-0.02971,0.751667,0.0334074
230,-0.0297,0.751667,0.0334074
231,-0.02969,0.751667,0.0334074
232,-0.02968,0.768371,0.0334074
233,-0.02967,0.768371,0.0334074
234,-0.02966,0.785075,0.0334074
235,-0.02965,0.785075,0.0334074
236,-0.02964,0.801779,0.0334074
237,-0.02963,0.801779,0.0334074
238,-0.02962,0.801779,0.0334074
239,-0.02961,0.835186,0.0334074
240,-0.0296,0.818482,0.0334074
241,-0.02959,0.85189,0.0334074
242,-0.02958,0.85189,0.0334074
243,-0.02957,0.868594,0.0334074
244,-0.02956,0.868594,0.0334074
245,-0.02955,0.868594,0.0334074
246,-0.02954,0.902001,0.0334074
247,-0.02953,0.902001,0.0334074
248,-0.02952,0.902001,0.0334074
249,-0.02951,0.918705,0.0334074
250,-0.0295,0.918705,0.0334074
251,-0.02949,0.935408,0.0334074
252,-0.02948,0.935408,0.0334074
253,-0.02947,0.952112,0.0334074
254,-0.02946,0.952112,0.0334074
255,-0.02945,0.952112,0.0334074
256,-0.02944,1.00222,0.0334074
257,-0.02943,0.98552,0.0334074
258,-0.02942,1.01893,0.0334074
259,-0.02941,1.01893,0.0334074
260,-0.0294,1.01893,0.0334074
261,-0.02939,1.03563,0.0334074
262,-0.02938,1.03563,0.0334074
263,-0.02937,1.05233,0.0334074
264,-0.02936,1.05233,0.0334074
265,-0.02935,1.06904,0.0334074
266,-0.02934,1.06904,0.0334074
267,-0.02933,1.06904,0.0334074
268,-0.02932,1.10245,0.0334074
269,-0.02931,1.08574,0.0334074
270,-0.0293,1.11915,0.0334074
271,-0.02929,1.10245,0.0334074
272,-0.02928,1.13585,0.0334074
273,-0.02927,1.13585,0.0334074
274,-0.02926,1.13585,0.0334074
275,-0.02925,1.15256,0.0334074
276,-0.02924,1.16926,0.0334074
277,-0.02923,1.16926,0.0334074
278,-0.02922,1.18596,0.0334074
279,-0.02921,1.18596,0.0334074
280,-0.0292,1.18596,0.0334074
281,-0.02919,1.23608,0.0334074
282,-0.02918,1.23608,0.0334074
283,-0.02917,1.23608,0.0334074
284,-0.02916,1.25278,0.0334074
285,-0.02915,1.25278,0.0334074
286,-0.02914,1.26948,0.0334074
287,-0.02913,1.26948,0.0334074
288,-0.02912,1.28619,0.0334074
289,-0.02911,1.28619,0.0334074
290,-0.0291,1.30289,0.0334074
291,-0.02909,1.30289,0.0334074
292,-0.02908,1.31959,0.0334074
293,-0.02907,1.31959,0.0334074
294,-0.02906,1.31959,0.0334074
295,-0.02905,1.353,0.0334074
296,-0.02904,1.353,0.0334074
297,-0.02903,1.36971,0.0334074
298,-0.02902,1.36971,0.0334074
299,-0.02901,1.38641,0.0334074
300,-0.029,1.38641,0.0334074
301,-0.02899,1.40311,0.0334074
302,-0.02898,1.40311,0.0334074
303,-0.02897,1.41982,0.0334074
304,-0.02896,1.41982,0.0334074
305,-0.02895,1.41982,0.0334074
306,-0.02894,1.43652,0.0334074
307,-0.02893,1.43652,0.0334074
308,-0.02892,1.43652,0.0334074
309,-0.02891,1.48663,0.0334074
310,-0.0289,1.48663,0.0334074
311,-0.02889,1.50333,0.0334074
312,-0.02888,1.50333,0.0334074
313,-0.02887,1.52004,0.0334074
314,-0.02886,1.52004,0.0334074
315,-0.02885,1.52004,0.0334074
316,-0.02884,1.53674,0.0334074
317,-0.02883,1.53674,0.0334074
318,-0.02882,1.53674,0.0334074
319,-0.02881,1.57015,0.0334074
320,-0.0288,1.57015,0.0334074
321,-0.02879,1.58685,0.0334074
322,-0.02878,1.58685,0.0334074
323,-0.02877,1.60356,0.0334074
324,-0.02876,1.60356,0.0334074
325,-0.02875,1.62026,0.0334074
326,-0.02874,1.62026,0.0334074
327,-0.02873,1.63696,0.0334074
328,-0.02872,1.63696,0.0334074
329,-0.02871,1.65367,0.0334074
330,-0.0287,1.65367,0.0334074
331,-0.02869,1.67037,0.0334074
332,-0.02868,1.67037,0.0334074
333,-0.02867,1.68708,0.0334074
334,-0.02866,1.68708,0.0334074
335,-0.02865,1.68708,0.0334074
336,-0.02864,1.73719,0.0334074
337,-0.02863,1.73719,0.0334074
338,-0.02862,1.73719,0.0334074
339,-0.02861,1.75389,0.0334074
340,-0.0286,1.75389,0.0334074
341,-0.02859,1.77059,0.0334074
342,-0.02858,1.77059,0.0334074
343,-0.02857,1.7873,0.0334074
344,-0.02856,1.7873,0.0334074
345,-0.02855,1.804,0.0334074
346,-0.02854,1.804,0.0334074
347,-0.02853,1.82071,0.0334074
348,-0.02852,1.83741,0.0334074
