;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
172,-0.03028,0.334074,0.818482
173,-0.03027,0.283963,0.818482
174,-0.03026,0.217148,0.818482
175,-0.03025,0.501112,0.818482
176,-0.03024,0.417593,0.818482
177,-0.03023,0.350778,0.818482
178,-0.03022,0.451,0.818482
179,-0.03021,0.400889,0.818482
180,-0.0302,0.367482,0.818482
181,-0.03019,0.334074,0.818482
182,-0.03018,0.300667,0.818482
183,-0.03017,0.250556,0.818482
184,-0.03016,0.250556,0.818482
185,-0.03015,0.350778,0.818482
186,-0.03014,0.283963,0.818482
187,-0.03013,0.467704,0.818482
188,-0.03012,0.417593,0.818482
189,-0.03011,0.384186,0.818482
190,-0.0301,0.334074,0.818482
191,-0.03009,0.300667,0.818482
192,-0.03008,0.250556,0.818482
193,-0.03007,0.434297,0.818482
194,-0.03006,0.384186,0.818482
195,-0.03005,0.317371,0.818482
196,-0.03004,0.400889,0.818482
197,-0.03003,0.417593,0.818482
198,-0.03002,0.367482,0.818482
199,-0.03001,0.334074,0.818482
200,-0.03,0.283963,0.818482
201,-0.02999,0.26726,0.818482
202,-0.02998,0.217148,0.818482
203,-0.02997,0.183741,0.818482
204,-0.02996,0.384186,0.818482
205,-0.02995,0.317371,0.818482
206,-0.02994,0.283963,0.818482
207,-0.02993,0.384186,0.818482
208,-0.02992,0.350778,0.818482
209,-0.02991,0.317371,0.818482
210,-0.0299,0.283963,0.818482
211,-0.02989,0.400889,0.818482
212,-0.02988,0.517815,0.818482
213,-0.02987,0.451,0.818482
214,-0.02986,0.400889,0.818482
215,-0.02985,0.334074,0.818482
216,-0.02984,0.300667,0.818482
217,-0.02983,0.350778,0.818482
218,-0.02982,0.334074,0.818482
219,-0.02981,0.300667,0.818482
220,-0.0298,0.26726,0.818482
221,-0.02979,0.317371,0.818482
222,-0.02978,0.417593,0.818482
223,-0.02977,0.367482,0.818482
224,-0.02976,0.367482,0.818482
225,-0.02975,0.400889,0.818482
226,-0.02974,0.350778,0.818482
227,-0.02973,0.300667,0.818482
228,-0.02972,0.26726,0.818482
229,-0.02971,0.367482,0.818482
230,-0.0297,0.350778,0.818482
231,-0.02969,0.317371,0.818482
232,-0.02968,0.26726,0.818482
233,-0.02967,0.250556,0.818482
234,-0.02966,0.250556,0.818482
235,-0.02965,0.150333,0.818482
236,-0.02964,0.400889,0.818482
237,-0.02963,0.367482,0.818482
238,-0.02962,0.350778,0.818482
239,-0.02961,0.534519,0.818482
240,-0.0296,0.467704,0.818482
241,-0.02959,0.400889,0.818482
242,-0.02958,0.367482,0.818482
243,-0.02957,0.317371,0.818482
244,-0.02956,0.283963,0.818482
245,-0.02955,0.26726,0.818482
246,-0.02954,0.501112,0.818482
247,-0.02953,0.417593,0.785075
248,-0.02952,0.367482,0.801779
249,-0.02951,0.334074,0.818482
250,-0.0295,0.283963,0.818482
251,-0.02949,0.467704,0.818482
252,-0.02948,0.417593,0.818482
253,-0.02947,0.384186,0.818482
254,-0.02946,0.334074,0.818482
255,-0.02945,0.300667,0.818482
256,-0.02944,0.250556,0.818482
257,-0.02943,0.451,0.818482
258,-0.02942,0.400889,0.818482
259,-0.02941,0.367482,0.818482
260,-0.0294,0.334074,0.818482
261,-0.02939,0.283963,0.818482
262,-0.02938,0.217148,0.818482
263,-0.02937,0.350778,0.818482
264,-0.02936,0.384186,0.818482
265,-0.02935,0.334074,0.818482
266,-0.02934,0.300667,0.818482
267,-0.02933,0.26726,0.818482
268,-0.02932,0.300667,0.818482
269,-0.02931,0.300667,0.818482
270,-0.0293,0.250556,0.818482
271,-0.02929,0.217148,0.818482
272,-0.02928,0.26726,0.818482
273,-0.02927,0.417593,0.818482
274,-0.02926,0.334074,0.818482
275,-0.02925,0.300667,0.818482
276,-0.02924,0.467704,0.818482
277,-0.02923,0.384186,0.818482
278,-0.02922,0.350778,0.818482
279,-0.02921,0.334074,0.818482
280,-0.0292,0.26726,0.818482
281,-0.02919,0.334074,0.818482
282,-0.02918,0.467704,0.818482
283,-0.02917,0.417593,0.818482
284,-0.02916,0.350778,0.818482
285,-0.02915,0.317371,0.818482
286,-0.02914,0.283963,0.818482
287,-0.02913,0.26726,0.818482
288,-0.02912,0.200445,0.818482
289,-0.02911,0.467704,0.818482
290,-0.0291,0.384186,0.818482
291,-0.02909,0.334074,0.818482
292,-0.02908,0.300667,0.818482
293,-0.02907,0.26726,0.818482
294,-0.02906,0.350778,0.818482
295,-0.02905,0.317371,0.818482
296,-0.02904,0.283963,0.818482
297,-0.02903,0.217148,0.818482
298,-0.02902,0.384186,0.818482
299,-0.02901,0.317371,0.818482
300,-0.029,0.26726,0.818482
301,-0.02899,0.534519,0.818482
302,-0.02898,0.417593,0.818482
303,-0.02897,0.400889,0.818482
304,-0.02896,0.334074,0.818482
305,-0.02895,0.283963,0.818482
306,-0.02894,0.534519,0.818482
307,-0.02893,0.434297,0.818482
308,-0.02892,0.400889,0.818482
309,-0.02891,0.350778,0.818482
310,-0.0289,0.317371,0.818482
311,-0.02889,0.283963,0.818482
312,-0.02888,0.250556,0.818482
313,-0.02887,0.317371,0.818482
314,-0.02886,0.417593,0.818482
315,-0.02885,0.334074,0.818482
316,-0.02884,0.334074,0.818482
317,-0.02883,0.26726,0.818482
318,-0.02882,0.417593,0.818482
319,-0.02881,0.434297,0.818482
320,-0.0288,0.384186,0.801779
321,-0.02879,0.350778,0.818482
322,-0.02878,0.300667,0.818482
323,-0.02877,0.26726,0.818482
324,-0.02876,0.200445,0.818482
